time,ax,ay,az,gx,gy,gz,mx,my,mz
51.00,0.16,0.15,-10.22,-0.00,0.00,0.00,-27.41,-24.33,44.84
104.00,0.14,0.14,-10.21,0.00,0.00,0.00,-27.41,-24.33,44.84
156.00,0.15,0.15,-10.20,-0.00,0.00,0.00,-27.06,-25.03,45.86
208.00,0.17,0.14,-10.20,-0.00,0.00,0.00,-27.06,-25.03,45.86
260.00,0.15,0.13,-10.22,-0.00,0.00,0.00,-26.18,-23.45,44.33
312.00,0.16,0.14,-10.19,-0.00,0.00,0.00,-26.18,-23.45,44.33
365.00,0.17,0.14,-10.19,-0.00,0.00,0.00,-26.18,-23.45,44.33
417.00,0.17,0.14,-10.21,-0.00,0.00,0.00,-27.24,-24.15,45.35
469.00,0.15,0.13,-10.21,-0.00,0.00,0.00,-27.24,-24.15,45.35
521.00,0.15,0.13,-10.23,-0.00,0.00,0.00,-26.53,-23.80,45.35
573.00,0.16,0.14,-10.19,-0.00,0.00,0.00,-26.53,-23.80,45.35
626.00,0.16,0.15,-10.21,-0.00,0.00,0.00,-26.53,-23.80,45.35
861.00,0.15,0.14,-10.21,-0.00,0.00,0.00,-26.88,-24.86,46.71
914.00,0.15,0.15,-10.20,-0.00,0.00,0.00,-27.59,-23.09,45.01
966.00,0.16,0.15,-10.20,-0.00,0.00,0.00,-27.59,-23.09,45.01
1018.00,0.16,0.14,-10.23,-0.00,0.00,0.00,-27.76,-23.98,44.84
1070.00,0.14,0.13,-10.22,-0.00,0.00,0.00,-27.76,-23.98,44.84
1123.00,0.17,0.16,-10.21,-0.00,0.00,0.00,-27.76,-23.98,44.84
1175.00,0.16,0.14,-10.23,0.00,0.00,0.00,-27.94,-23.80,45.69
1227.00,0.17,0.14,-10.21,-0.00,0.00,0.00,-27.94,-23.80,45.69
1279.00,0.16,0.13,-10.22,-0.00,0.00,0.00,-26.18,-22.04,44.33
1331.00,0.16,0.13,-10.21,-0.00,0.01,0.00,-26.18,-22.04,44.33
1384.00,0.15,0.15,-10.20,-0.00,0.01,0.00,-27.59,-24.15,45.35
1436.00,0.15,0.16,-10.21,-0.00,0.00,0.00,-27.59,-24.15,45.35
1488.00,0.21,0.13,-10.22,-0.00,0.00,0.00,-27.59,-24.15,45.35
1540.00,0.15,0.13,-10.23,-0.00,0.00,0.00,-27.24,-24.86,45.01
1593.00,0.19,0.13,-10.20,-0.00,0.00,0.00,-27.24,-24.86,45.01
1645.00,0.15,0.16,-10.20,-0.00,0.00,0.00,-26.71,-23.98,46.54
1697.00,0.18,0.12,-10.21,-0.00,0.00,0.00,-26.71,-23.98,46.54
1750.00,0.15,0.16,-10.18,-0.00,0.00,0.00,-26.71,-23.98,46.54
1802.00,0.17,0.13,-10.22,-0.00,0.00,0.00,-27.06,-22.92,44.16
1854.00,0.15,0.16,-10.21,-0.00,0.00,0.00,-27.06,-22.92,44.16
2088.00,0.16,0.12,-10.18,-0.00,0.00,0.00,-26.88,-23.45,44.67
2141.00,0.16,0.14,-10.23,-0.00,0.00,0.00,-25.83,-24.51,45.01
2193.00,0.17,0.14,-10.20,-0.00,0.00,0.00,-25.83,-24.51,45.01
2245.00,0.16,0.14,-10.20,0.00,0.00,0.00,-25.83,-24.51,45.01
2298.00,0.14,0.14,-10.21,0.00,0.00,0.00,-25.83,-23.45,44.33
2350.00,0.17,0.14,-10.19,-0.00,0.00,0.00,-25.83,-23.45,44.33
2402.00,0.17,0.13,-10.20,-0.00,0.00,0.00,-27.41,-25.39,44.84
2454.00,0.16,0.14,-10.20,-0.00,0.00,0.00,-27.41,-25.39,44.84
2507.00,0.16,0.14,-10.21,-0.00,0.00,0.00,-27.24,-24.15,44.67
2559.00,0.16,0.14,-10.20,-0.00,0.00,0.00,-27.24,-24.15,44.67
2611.00,0.18,0.13,-10.20,-0.00,0.00,0.00,-27.24,-24.15,44.67
2664.00,0.16,0.13,-10.20,-0.00,0.00,0.00,-26.01,-25.03,45.52
2716.00,0.16,0.14,-10.19,-0.00,0.00,0.00,-26.01,-25.03,45.52
2768.00,0.16,0.14,-10.22,-0.00,-0.00,0.00,-28.11,-22.21,44.50
2820.00,0.16,0.14,-10.20,-0.00,0.00,0.00,-28.11,-22.21,44.50
2873.00,0.17,0.13,-10.21,-0.00,0.00,0.00,-28.11,-22.21,44.50
2925.00,0.15,0.14,-10.18,-0.00,0.00,0.00,-28.46,-23.27,45.52
2977.00,0.16,0.13,-10.21,-0.00,0.00,0.00,-28.46,-23.27,45.52
3030.00,0.16,0.13,-10.21,-0.00,0.00,0.00,-26.71,-24.33,44.16
3255.00,0.16,0.14,-10.20,-0.00,0.00,0.00,-27.06,-24.33,46.20
3308.00,0.16,0.13,-10.20,0.00,0.00,0.00,-28.29,-23.80,45.35
3360.00,0.89,-1.03,-10.11,-0.01,-0.02,0.01,-28.29,-23.80,45.35
3413.00,-0.34,0.07,-10.03,0.19,-0.30,1.27,-27.06,-24.68,44.84
3465.00,-0.16,0.32,-10.20,-0.06,0.28,0.93,-27.06,-24.68,44.84
3518.00,0.21,0.15,-10.52,-0.03,0.24,0.90,-27.06,-24.68,44.84
3570.00,-0.02,-0.10,-10.21,0.00,0.01,0.69,-24.95,-24.68,46.54
3623.00,0.08,0.15,-10.21,0.00,0.00,0.36,-24.95,-24.68,46.54
3675.00,0.04,0.00,-10.20,-0.00,0.00,0.19,-25.13,-24.86,45.35
3728.00,0.07,0.12,-10.22,-0.01,0.00,0.20,-25.13,-24.86,45.35
3780.00,0.13,-0.10,-10.20,-0.01,-0.00,0.30,-23.55,-23.98,45.18
3832.00,0.01,0.15,-10.22,0.01,0.01,0.33,-23.55,-23.98,45.18
3885.00,0.08,0.04,-10.19,-0.00,0.00,0.07,-23.02,-26.27,45.69
3937.00,0.04,0.05,-10.21,-0.00,0.00,0.00,-23.02,-26.27,45.69
3990.00,0.09,-0.07,-10.22,0.00,0.00,0.00,-23.02,-26.27,45.69
4042.00,0.09,0.02,-10.21,-0.00,0.00,0.00,-24.25,-24.33,45.52
4095.00,0.14,0.01,-10.17,-0.00,0.00,0.00,-24.25,-24.33,45.52
4147.00,0.08,0.03,-10.18,-0.00,0.00,0.00,-23.90,-25.74,46.20
4200.00,0.13,-0.01,-10.20,0.00,0.00,0.00,-23.90,-25.74,46.20
4418.00,0.12,-0.02,-10.19,0.00,0.00,0.00,-25.48,-24.15,44.33
4471.00,0.14,0.04,-10.20,-0.00,0.00,0.00,-25.48,-24.15,44.33
4523.00,0.09,-0.01,-10.22,0.00,0.00,0.00,-23.19,-25.03,45.18
4576.00,0.12,0.02,-10.19,-0.00,0.00,0.00,-23.19,-25.03,45.18
4628.00,0.10,-0.01,-10.20,-0.00,0.00,0.00,-23.19,-25.03,45.18
4681.00,0.11,0.01,-10.21,0.00,0.00,0.00,-24.42,-24.86,45.69
4734.00,0.09,0.01,-10.22,-0.00,0.00,0.00,-24.42,-24.86,45.69
4786.00,0.08,-0.03,-10.20,-0.00,0.00,0.00,-24.78,-24.51,44.67
4839.00,0.12,0.03,-10.19,-0.00,0.00,0.00,-24.78,-24.51,44.67
4891.00,0.08,-0.01,-10.20,-0.00,0.00,0.00,-24.78,-25.56,45.01
4944.00,0.11,0.00,-10.18,0.00,0.00,0.00,-24.78,-25.56,45.01
4997.00,0.10,-0.00,-10.17,-0.00,0.00,0.00,-24.78,-25.56,45.01
5049.00,0.07,0.04,-10.15,-0.00,0.00,0.00,-22.67,-25.21,43.99
5102.00,0.11,0.03,-10.17,-0.00,0.00,0.00,-22.67,-25.21,43.99
5154.00,0.09,-0.01,-10.18,-0.00,0.00,0.00,-24.25,-25.03,45.52
5207.00,0.11,0.02,-10.18,0.00,0.00,0.00,-24.25,-25.03,45.52
5259.00,0.09,-0.01,-10.19,-0.00,0.00,0.00,-24.25,-25.03,45.52
5312.00,0.08,-0.00,-10.21,-0.00,0.00,0.00,-23.55,-25.03,44.50
5365.00,0.11,0.00,-10.19,-0.00,0.00,0.00,-23.55,-25.03,44.50
5598.00,0.11,-0.01,-10.21,-0.00,0.00,0.00,-23.19,-24.68,43.48
5651.00,0.11,0.00,-10.22,-0.00,0.00,0.00,-23.55,-25.39,44.16
5704.00,0.09,0.01,-10.20,-0.00,0.00,0.00,-23.55,-25.39,44.16
5756.00,0.09,0.00,-10.20,-0.00,0.00,0.00,-23.55,-25.39,44.16
5809.00,0.10,0.00,-10.20,-0.00,0.00,0.00,-24.95,-25.03,44.84
5862.00,0.12,0.01,-10.20,-0.00,0.00,0.00,-24.95,-25.03,44.84
5914.00,0.11,0.00,-10.20,-0.00,0.00,0.00,-24.78,-25.56,45.01
5967.00,0.11,0.01,-10.19,-0.00,0.00,0.00,-24.78,-25.56,45.01
6020.00,0.09,0.00,-10.21,-0.00,0.00,0.00,-24.78,-25.56,45.01
6072.00,0.10,0.00,-10.19,-0.00,0.00,0.00,-23.72,-26.62,45.01
6125.00,0.10,-0.01,-10.21,-0.00,0.00,0.00,-23.72,-26.62,45.01
6178.00,0.10,0.02,-10.21,-0.00,0.00,0.00,-24.07,-25.56,45.35
6230.00,0.09,-0.00,-10.22,-0.00,0.00,0.00,-24.07,-25.56,45.35
6283.00,0.12,0.00,-10.21,-0.00,0.00,0.00,-24.25,-24.68,44.50
6336.00,0.10,0.01,-10.18,-0.00,0.00,0.00,-24.25,-24.68,44.50
6388.00,0.10,-0.01,-10.20,-0.00,0.00,0.00,-24.25,-24.68,44.50
6441.00,0.11,0.01,-10.23,-0.00,0.00,0.00,-23.72,-24.86,44.67
6494.00,0.12,-0.01,-10.19,-0.00,0.00,0.00,-23.72,-24.86,44.67
6547.00,0.10,0.02,-10.20,-0.00,0.00,0.00,-23.72,-24.51,44.33
6785.00,0.11,-0.04,-10.19,0.00,0.00,0.00,-24.07,-25.56,44.67
6838.00,0.08,0.02,-10.19,-0.00,0.00,0.00,-24.07,-25.56,44.67
6891.00,0.16,0.02,-10.19,0.00,0.00,0.00,-24.07,-25.56,44.67
