time,ax,ay,az,gx,gy,gz,mx,my,mz
51.00,0.22,0.13,-10.22,-0.00,0.00,0.00,-26.18,-23.09,43.99
103.00,0.19,0.14,-10.18,-0.00,0.00,0.00,-26.18,-23.09,43.99
154.00,0.22,0.14,-10.20,-0.00,0.00,0.00,-26.36,-23.62,44.16
206.00,0.19,0.16,-10.20,-0.00,0.00,0.00,-26.36,-23.62,44.16
258.00,0.20,0.15,-10.24,0.00,0.00,0.00,-26.36,-23.62,44.16
310.00,0.20,0.14,-10.17,-0.00,-0.00,0.00,-26.36,-22.57,44.84
361.00,0.20,0.15,-10.22,-0.00,0.00,0.00,-26.36,-22.57,44.84
413.00,0.20,0.15,-10.20,-0.00,0.00,0.00,-27.59,-21.33,43.65
465.00,0.20,0.15,-10.21,-0.00,0.00,0.00,-27.59,-21.33,43.65
517.00,0.21,0.14,-10.19,-0.00,-0.00,0.00,-27.59,-21.33,43.65
569.00,0.19,0.15,-10.21,-0.00,0.00,0.00,-26.36,-23.62,44.16
620.00,0.20,0.15,-10.18,-0.00,0.00,0.00,-26.36,-23.62,44.16
672.00,0.21,0.14,-10.22,-0.00,0.00,0.00,-27.94,-22.74,44.33
724.00,0.28,0.22,-10.38,-0.00,0.00,0.00,-27.94,-22.74,44.33
776.00,0.17,0.11,-10.23,0.00,-0.00,0.00,-27.94,-22.74,44.33
828.00,0.40,0.30,-10.35,-0.01,0.00,-0.01,-26.71,-23.98,45.52
879.00,0.24,0.06,-10.25,0.01,-0.00,0.01,-26.71,-23.98,45.52
931.00,0.45,0.45,-10.23,-0.01,0.00,-0.00,-26.88,-22.74,45.01
983.00,0.07,-0.18,-10.18,0.01,-0.00,0.01,-26.88,-22.74,45.01
1035.00,0.33,0.36,-10.19,-0.00,0.00,0.00,-27.06,-23.62,44.84
1087.00,0.24,0.17,-10.19,-0.01,0.00,0.00,-27.06,-23.62,44.84
1139.00,0.15,0.17,-10.17,-0.00,0.00,0.00,-27.06,-23.62,44.84
1190.00,0.28,0.15,-10.20,-0.00,0.00,0.00,-27.24,-22.39,44.67
1242.00,0.14,0.16,-10.20,-0.00,0.00,0.00,-27.24,-22.39,44.67
1294.00,0.23,0.11,-10.23,0.00,0.00,0.00,-27.59,-23.45,43.65
1346.00,0.19,0.19,-10.22,-0.00,0.00,0.00,-27.59,-23.45,43.65
1398.00,0.22,0.10,-10.19,-0.00,0.00,0.00,-27.59,-23.45,43.65
1450.00,0.18,0.13,-10.20,-0.00,0.00,0.00,-28.11,-22.57,43.14
1501.00,0.24,0.15,-10.20,-0.00,0.00,0.00,-28.11,-22.57,43.14
1553.00,0.18,0.16,-10.23,-0.00,0.00,0.00,-28.29,-22.74,44.67
1605.00,0.22,0.11,-10.20,-0.00,0.00,0.00,-28.29,-22.74,44.67
1657.00,0.20,0.15,-10.18,-0.00,0.00,0.00,-28.29,-22.74,44.67
1709.00,0.24,0.17,-10.21,-0.00,0.00,0.00,-27.24,-22.39,44.33
1761.00,0.16,0.12,-10.17,-0.00,0.00,0.00,-27.24,-22.39,44.33
1812.00,0.23,0.14,-10.20,-0.00,0.00,0.00,-26.36,-23.27,44.16
1864.00,0.16,0.12,-10.22,-0.00,0.00,0.00,-26.36,-23.27,44.16
1916.00,0.22,0.13,-10.21,-0.00,0.00,0.00,-27.24,-22.74,44.33
1968.00,0.22,0.16,-10.19,-0.00,0.00,0.00,-27.24,-22.74,44.33
2020.00,0.19,0.15,-10.21,-0.00,0.00,0.00,-27.24,-22.74,44.33
2072.00,0.22,0.15,-10.20,-0.00,0.00,0.00,-26.71,-23.27,43.82
2123.00,0.20,0.15,-10.18,-0.00,0.00,0.00,-26.71,-23.27,43.82
2175.00,0.22,0.14,-10.22,0.00,0.00,0.00,-26.01,-22.21,43.14
2227.00,0.19,0.13,-10.19,-0.00,0.00,0.00,-26.01,-22.21,43.14
2279.00,0.24,0.17,-10.18,-0.00,0.00,0.00,-26.01,-22.21,43.14
2331.00,0.19,0.14,-10.20,-0.00,0.00,0.00,-26.36,-21.16,43.82
2383.00,0.23,0.13,-10.18,-0.00,0.00,0.00,-26.36,-21.16,43.82
2435.00,0.19,0.15,-10.20,-0.00,0.00,0.00,-26.71,-23.27,43.48
2487.00,0.27,0.15,-10.24,-0.00,0.00,0.00,-26.71,-23.27,43.48
2538.00,0.06,0.12,-10.20,-0.00,-0.00,0.00,-25.83,-22.74,44.67
2590.00,0.29,0.06,-10.22,0.00,0.00,0.00,-25.83,-22.74,44.67
2642.00,0.13,0.16,-10.19,-0.00,0.00,0.00,-25.83,-22.74,44.67
2694.00,0.22,0.06,-10.20,-0.00,-0.00,0.00,-25.83,-22.39,43.99
2746.00,0.18,0.20,-10.20,-0.00,0.00,0.00,-25.83,-22.39,43.99
2798.00,0.20,0.12,-10.22,-0.00,0.00,0.00,-28.11,-22.21,44.50
2850.00,0.18,0.15,-10.20,-0.00,0.00,0.00,-28.11,-22.21,44.50
2902.00,0.20,0.15,-10.20,-0.00,0.00,0.00,-28.11,-22.21,44.50
2954.00,0.19,0.14,-10.21,-0.00,0.00,0.00,-26.71,-23.62,43.82
3005.00,0.18,0.16,-10.19,-0.00,0.00,0.00,-26.71,-23.62,43.82
3057.00,0.21,0.14,-10.20,-0.00,0.00,0.00,-27.59,-24.51,44.33
3109.00,0.20,0.12,-10.18,-0.00,0.00,0.00,-27.59,-24.51,44.33
3161.00,0.22,0.14,-10.20,-0.00,0.00,0.00,-27.59,-24.51,44.33
3213.00,0.20,0.14,-10.21,-0.00,0.00,0.00,-27.41,-23.62,44.50
3265.00,0.22,0.11,-10.19,-0.00,0.00,0.00,-27.41,-23.62,44.50
3317.00,0.21,0.15,-10.20,-0.00,-0.00,0.00,-28.11,-22.57,43.82
3369.00,0.20,0.13,-10.20,-0.00,0.00,0.00,-28.11,-22.57,43.82
3421.00,0.20,0.16,-10.19,-0.00,0.00,0.00,-27.06,-22.57,44.50
3473.00,0.20,0.13,-10.23,-0.00,0.00,0.00,-27.06,-22.57,44.50
3525.00,0.21,0.15,-10.16,-0.00,0.00,0.00,-27.06,-22.57,44.50
3577.00,0.21,0.15,-10.19,-0.00,0.00,0.00,-26.36,-22.92,44.16
3628.00,0.20,0.15,-10.17,-0.00,0.00,0.00,-26.36,-22.92,44.16
3680.00,0.22,0.12,-10.21,-0.00,0.00,0.00,-27.94,-21.33,43.99
3732.00,0.19,0.15,-10.20,-0.00,0.00,0.00,-27.94,-21.33,43.99
3784.00,0.20,0.13,-10.19,-0.00,0.00,0.00,-27.94,-21.33,43.99
3836.00,0.20,0.15,-10.21,-0.00,0.00,0.00,-26.36,-22.92,44.50
