time,ax,ay,az,gx,gy,gz,mx,my,mz
125.00,0.30,0.15,-10.20,-0.00,-0.01,-0.01,-27.94,-21.68,48.75
175.00,0.31,0.15,-10.19,-0.00,-0.01,-0.01,-27.94,-21.68,48.75
226.00,0.30,0.15,-10.18,-0.00,-0.01,-0.01,-27.94,-21.68,48.75
277.00,0.32,0.14,-10.17,-0.00,-0.01,-0.01,-28.99,-21.33,48.75
328.00,0.30,0.16,-10.18,0.00,-0.01,-0.01,-28.99,-21.33,48.75
378.00,0.31,0.15,-10.21,0.00,-0.01,-0.01,-28.99,-21.33,48.75
429.00,0.29,0.15,-10.19,0.00,-0.01,-0.01,-28.99,-21.33,48.75
480.00,0.32,0.15,-10.19,0.00,-0.01,-0.01,-28.99,-21.33,48.75
531.00,0.31,0.15,-10.20,0.00,-0.01,-0.01,-28.46,-20.80,48.58
581.00,0.30,0.16,-10.21,0.00,-0.01,-0.01,-28.46,-20.80,48.58
632.00,0.30,0.15,-10.21,0.00,-0.01,-0.01,-29.52,-21.16,47.90
683.00,0.31,0.16,-10.19,0.00,-0.01,-0.01,-29.52,-21.16,47.90
734.00,0.31,0.15,-10.20,0.00,-0.01,-0.01,-29.52,-21.16,47.90
784.00,0.31,0.16,-10.20,0.00,-0.01,-0.01,-29.17,-21.16,48.92
835.00,0.30,0.17,-10.18,0.00,-0.01,-0.01,-29.17,-21.16,48.92
886.00,0.31,0.16,-10.21,-0.00,-0.01,-0.01,-28.29,-20.98,48.75
937.00,0.30,0.15,-10.20,-0.00,-0.01,-0.01,-28.29,-20.98,48.75
987.00,0.31,0.15,-10.19,-0.00,-0.01,-0.01,-28.29,-20.98,48.75
1038.00,0.31,0.14,-10.19,0.00,-0.01,-0.01,-27.41,-20.10,47.90
1089.00,0.31,0.16,-10.19,-0.00,-0.01,-0.01,-27.41,-20.10,47.90
1140.00,0.31,0.15,-10.19,-0.00,-0.01,-0.01,-28.46,-20.45,48.58
1190.00,0.30,0.14,-10.19,-0.00,-0.01,-0.01,-28.46,-20.45,48.58
1241.00,0.30,0.16,-10.21,0.00,-0.01,-0.01,-29.52,-21.86,48.58
1292.00,0.31,0.15,-10.20,-0.00,-0.01,-0.01,-29.52,-21.86,48.58
1343.00,0.30,0.15,-10.19,-0.00,-0.01,-0.01,-29.52,-21.86,48.58
1394.00,0.30,0.14,-10.20,-0.00,-0.01,-0.01,-29.34,-20.63,48.75
1445.00,0.30,0.15,-10.19,-0.00,-0.01,-0.01,-29.34,-20.63,48.75
1495.00,0.31,0.15,-10.21,0.00,-0.01,-0.01,-29.34,-20.63,48.75
1546.00,0.31,0.16,-10.19,-0.00,-0.01,-0.01,-27.41,-21.86,49.60
1597.00,0.31,0.15,-10.19,-0.00,-0.01,-0.01,-27.41,-21.86,49.60
1648.00,0.31,0.16,-10.20,0.00,-0.01,-0.01,-29.17,-20.80,47.90
1699.00,0.31,0.16,-10.20,-0.00,-0.01,-0.01,-29.17,-20.80,47.90
1749.00,0.31,0.16,-10.19,0.00,-0.01,-0.01,-30.22,-20.45,49.94
1800.00,0.30,0.17,-10.20,-0.00,-0.01,-0.01,-30.22,-20.45,49.94
1851.00,0.31,0.17,-10.20,0.00,-0.01,-0.01,-30.22,-20.45,49.94
1902.00,0.31,0.16,-10.18,-0.00,-0.01,-0.01,-28.11,-21.51,47.56
1953.00,0.32,0.17,-10.18,0.00,-0.01,-0.01,-28.11,-21.51,47.56
2004.00,0.31,0.14,-10.22,0.00,-0.01,-0.01,-28.46,-20.10,49.26
2055.00,0.29,0.17,-10.18,0.00,-0.01,-0.01,-28.46,-20.10,49.26
2105.00,0.31,0.16,-10.18,-0.00,-0.01,-0.01,-28.46,-20.10,49.26
2156.00,0.30,0.15,-10.19,0.00,-0.01,-0.01,-28.82,-21.51,47.56
2207.00,1.05,-1.19,-10.16,-0.01,-0.02,0.31,-28.82,-21.51,47.56
2258.00,0.29,0.39,-10.15,-0.05,-0.01,1.70,-27.76,-23.62,49.94
2309.00,0.25,0.41,-10.27,-0.04,-0.01,1.35,-27.76,-23.62,49.94
