time,ax,ay,az,gx,gy,gz,mx,my,mz
50.00,-0.23,0.07,-10.15,0.00,-0.01,-0.01,-28.11,-23.62,47.22
101.00,-0.21,0.08,-10.19,0.00,-0.01,-0.01,-28.11,-23.62,47.22
152.00,-0.21,0.07,-10.21,0.00,-0.01,-0.01,-28.64,-21.33,47.39
204.00,-0.21,0.08,-10.21,-0.00,-0.01,-0.01,-28.64,-21.33,47.39
255.00,-0.23,0.06,-10.21,-0.00,-0.01,-0.01,-29.87,-23.27,47.56
306.00,-0.20,0.07,-10.19,0.00,-0.01,-0.01,-29.87,-23.27,47.56
358.00,-0.23,0.07,-10.21,0.00,-0.01,-0.01,-28.99,-22.39,48.07
409.00,-0.22,0.06,-10.20,0.00,-0.01,-0.01,-28.99,-22.39,48.07
460.00,-0.29,0.15,-10.09,-0.03,-0.02,0.51,-28.99,-22.39,48.07
511.00,-0.23,0.23,-10.29,-0.01,-0.03,0.20,-28.99,-22.39,48.07
563.00,-0.11,0.08,-10.34,0.08,0.03,0.45,-28.99,-22.39,48.07
614.00,-0.85,1.00,-10.18,-0.01,0.02,0.57,-28.99,-22.39,48.07
665.00,-0.10,-0.02,-10.23,-0.01,-0.04,0.04,-27.94,-23.80,48.41
717.00,-0.37,-0.30,-9.92,0.01,-0.06,0.08,-27.94,-23.80,48.41
768.00,-0.43,-0.05,-10.19,0.08,0.17,0.25,-28.29,-23.80,48.41
819.00,0.04,0.15,-10.17,-0.04,0.13,0.01,-28.29,-23.80,48.41
870.00,0.58,-0.06,-10.63,-0.01,0.06,-0.05,-26.53,-22.74,48.41
921.00,-0.11,1.10,-10.87,-0.48,0.06,-0.02,-26.53,-22.74,48.41
973.00,-0.12,0.08,-10.16,0.02,-0.01,-0.02,-26.53,-22.74,48.41
1024.00,-0.19,0.22,-10.24,0.01,-0.01,-0.03,-27.24,-23.09,46.37
1076.00,-0.14,0.12,-10.19,0.00,-0.01,-0.03,-27.24,-23.09,46.37
1127.00,0.00,0.49,-10.56,0.02,-0.03,-0.07,-28.29,-22.74,48.07
1178.00,-0.55,0.14,-10.18,0.25,-0.04,0.21,-28.29,-22.74,48.07
1230.00,-0.28,0.02,-10.17,0.16,-0.01,0.14,-28.29,-22.74,48.07
1281.00,-0.32,-0.31,-10.24,0.79,0.07,0.12,-27.59,-22.04,47.39
1332.00,-0.17,-0.01,-10.54,1.12,0.15,-0.07,-27.59,-22.04,47.39
1384.00,-0.04,-1.41,-10.00,0.68,0.01,-0.16,-26.01,-17.28,48.24
1435.00,-0.18,-0.84,-10.46,0.40,0.02,-0.25,-26.01,-17.28,48.24
1486.00,0.61,-3.54,-12.33,0.96,-0.09,-0.24,-26.01,-17.28,48.24
1538.00,-1.04,-0.94,-11.75,1.07,-1.09,0.03,-27.76,-12.69,48.58
1589.00,-1.30,-1.91,-11.48,2.04,-1.57,-0.43,-27.76,-12.69,48.58
1640.00,-3.19,-4.80,-9.44,1.93,-1.96,-0.33,-32.68,-4.94,46.88
1691.00,-2.95,-4.84,-8.51,1.23,-1.82,0.20,-32.68,-4.94,46.88
1743.00,-4.37,-4.72,-8.36,0.55,-1.49,0.36,-42.70,0.18,42.63
1794.00,-2.38,-6.47,-7.54,0.99,-1.51,0.44,-42.70,0.18,42.63
1845.00,-4.05,-4.17,-5.12,0.66,-2.12,0.96,-42.70,0.18,42.63
1897.00,-7.10,-5.90,-4.51,1.01,-1.95,0.89,-50.96,-1.76,33.29
1948.00,-6.06,-2.32,-4.93,1.18,-2.07,0.35,-50.96,-1.76,33.29
2000.00,-4.52,-4.38,-1.76,3.38,-2.86,-0.68,-57.81,3.35,22.93
2051.00,-6.70,-6.73,0.08,4.29,-2.76,-0.49,-57.81,3.35,22.93
2102.00,-5.83,-6.28,1.13,3.48,-2.39,0.32,-57.81,3.35,22.93
2154.00,-6.79,-6.43,2.02,3.53,-2.21,0.67,-60.80,7.05,-1.36
2205.00,-6.54,-4.88,4.38,2.38,-2.26,0.84,-60.80,7.05,-1.36
2256.00,-6.43,-4.27,8.28,1.59,-1.98,0.76,-60.09,-2.82,-18.00
2308.00,-5.37,-2.55,4.46,-1.42,-0.35,0.13,-60.09,-2.82,-18.00
2359.00,-6.62,-3.07,6.43,-0.01,0.16,-0.49,-56.23,-1.41,-19.70
2411.00,-4.64,-6.48,7.23,-0.05,0.68,-1.32,-56.23,-1.41,-19.70
2462.00,-5.84,-5.55,4.15,-0.78,1.05,0.08,-56.23,-1.41,-19.70
2513.00,-7.36,-4.96,3.13,-0.31,0.73,0.19,-59.74,1.76,-15.29
2565.00,-7.39,-6.32,5.85,1.48,-0.25,0.21,-59.74,1.76,-15.29
2616.00,-7.92,-3.41,3.90,1.47,0.29,0.57,-59.74,1.76,-15.29
2668.00,-5.66,-3.85,5.69,4.35,-0.78,0.48,-59.57,-4.05,-15.12
2719.00,-5.82,-2.44,9.50,2.72,-0.82,1.07,-59.57,-4.05,-15.12
2770.00,-4.20,-0.06,8.85,2.84,0.36,1.83,-60.97,-19.22,-18.85
2822.00,-7.99,3.19,7.81,-1.12,0.51,-0.43,-60.97,-19.22,-18.85
2873.00,-6.82,-2.86,8.14,-0.63,0.51,-1.05,-60.97,-19.22,-18.85
2925.00,-6.60,0.47,6.65,0.97,0.55,0.37,-60.44,-21.16,-17.66
2976.00,-7.65,0.53,5.76,0.20,0.91,0.13,-60.44,-21.16,-17.66
3028.00,-7.31,0.79,7.48,-0.18,0.39,-0.13,-63.08,-23.09,-14.10
3079.00,-7.47,-0.58,4.55,0.34,0.88,0.05,-63.08,-23.09,-14.10
3130.00,-9.75,1.82,4.44,0.87,0.36,0.49,-64.49,-25.21,-10.02
3182.00,-6.64,0.84,6.51,0.21,-0.00,0.11,-64.49,-25.21,-10.02
3233.00,-8.74,1.08,6.05,0.51,0.54,0.24,-64.49,-25.21,-10.02
3285.00,-8.17,2.51,4.73,0.49,0.32,0.54,-64.13,-26.97,-6.96
3336.00,-8.10,2.18,4.93,0.01,-0.12,-0.02,-64.13,-26.97,-6.96
3388.00,-8.11,2.32,4.91,0.46,0.16,0.37,-63.78,-28.74,-5.61
3440.00,-8.05,1.48,4.20,-0.18,0.04,-0.19,-63.78,-28.74,-5.61
3494.00,-8.86,1.82,5.92,0.25,-0.20,0.02,-63.78,-28.74,-5.61
3544.00,-7.63,2.61,6.06,0.00,-0.05,-0.07,-64.66,-29.62,-5.77
3594.00,-8.09,1.57,4.82,0.06,0.19,-0.15,-64.66,-29.62,-5.77
3644.00,-8.29,2.27,4.73,-0.12,0.01,0.04,-64.66,-28.56,-4.42
3694.00,-8.10,1.97,5.17,-0.12,-0.06,-0.04,-64.66,-28.56,-4.42
3744.00,-7.95,2.18,5.32,-0.08,0.09,-0.03,-63.96,-28.21,-5.44
3794.00,-8.24,1.98,5.05,-0.08,-0.04,-0.05,-63.96,-28.21,-5.44
3844.00,-8.05,1.88,4.97,0.03,0.00,-0.08,-63.96,-28.21,-5.44
3893.00,-8.35,2.10,5.23,0.06,0.04,-0.06,-63.96,-30.32,-6.45
3943.00,-8.41,2.13,4.87,-0.09,0.06,-0.12,-63.96,-30.32,-6.45
3993.00,-8.13,1.76,5.14,-0.12,0.02,-0.09,-63.96,-30.32,-6.45
4043.00,-8.31,1.44,5.37,-0.19,0.05,-0.03,-65.54,-28.74,-3.57
4093.00,-8.07,2.00,4.73,-0.09,0.14,0.09,-65.54,-28.74,-3.57
4143.00,-8.22,1.48,4.86,-0.13,0.06,0.05,-64.84,-28.74,-5.27
4193.00,-8.29,2.09,4.80,0.01,0.08,0.20,-64.84,-28.74,-5.27
4243.00,-8.00,1.46,5.05,0.11,0.07,0.17,-64.49,-28.38,-4.93
4293.00,-8.21,1.69,5.11,0.22,0.07,0.24,-64.49,-28.38,-4.93
4343.00,-8.18,2.50,4.59,0.38,0.10,0.30,-64.49,-28.38,-4.93
4393.00,-8.00,1.93,4.55,0.37,0.08,0.24,-65.01,-31.38,-2.72
4444.00,-7.60,2.27,4.24,0.68,0.06,0.31,-65.01,-31.38,-2.72
4494.00,-8.47,3.59,4.88,0.78,0.02,0.49,-65.01,-31.38,-2.72
4544.00,-8.41,3.89,3.91,0.29,-0.12,0.12,-63.61,-34.91,-2.04
