time,ax,ay,az,gx,gy,gz,mx,my,mz
50.00,0.23,0.16,-10.20,0.00,-0.01,-0.01,-29.69,-22.39,50.45
101.00,0.21,0.18,-10.20,0.00,-0.01,-0.01,-29.69,-22.39,50.45
153.00,0.22,0.16,-10.17,-0.00,-0.01,-0.01,-29.87,-21.16,49.26
205.00,0.23,0.16,-10.20,0.00,-0.01,-0.01,-29.87,-21.16,49.26
256.00,0.23,0.16,-10.20,-0.00,-0.01,-0.01,-29.87,-21.16,49.26
308.00,0.24,0.17,-10.23,0.00,-0.01,-0.01,-27.94,-21.68,49.43
360.00,0.25,0.18,-10.10,-0.00,-0.01,-0.01,-27.94,-21.68,49.43
411.00,0.24,0.13,-10.19,0.00,-0.01,-0.01,-29.17,-20.45,50.62
463.00,0.24,0.18,-10.22,0.00,-0.01,-0.01,-29.17,-20.45,50.62
514.00,0.24,0.20,-10.22,-0.00,-0.01,-0.01,-28.99,-21.68,49.43
566.00,0.24,0.17,-10.18,-0.00,-0.01,-0.01,-28.99,-21.68,49.43
618.00,0.23,0.17,-10.20,0.00,-0.01,-0.01,-28.99,-21.68,49.43
669.00,0.23,0.17,-10.22,-0.00,-0.01,-0.01,-27.41,-20.45,49.94
721.00,0.22,0.16,-10.17,0.00,-0.01,-0.01,-27.41,-20.45,49.94
773.00,0.23,0.18,-10.20,-0.00,-0.01,-0.01,-27.94,-21.33,49.09
824.00,0.23,0.18,-10.19,-0.00,-0.01,-0.01,-27.94,-21.33,49.09
876.00,0.24,0.15,-10.16,-0.00,-0.01,-0.01,-27.94,-21.33,49.09
927.00,0.24,0.16,-10.18,0.00,-0.01,-0.01,-29.34,-20.98,50.11
979.00,0.23,0.17,-10.19,-0.00,-0.01,-0.01,-29.34,-20.98,50.11
1031.00,0.24,0.16,-10.20,-0.00,-0.01,-0.01,-28.82,-21.51,49.94
1082.00,0.24,0.15,-10.19,0.00,-0.01,-0.01,-28.82,-21.51,49.94
1134.00,0.24,0.15,-10.20,0.00,-0.01,-0.01,-28.46,-21.86,49.26
1186.00,0.22,0.15,-10.19,0.00,-0.01,-0.01,-28.46,-21.86,49.26
1237.00,0.23,0.17,-10.19,0.00,-0.01,-0.01,-28.46,-21.86,49.26
1289.00,0.24,0.16,-10.18,0.00,-0.01,-0.01,-28.99,-20.98,48.07
1341.00,0.23,0.17,-10.18,-0.00,-0.01,-0.01,-28.99,-20.98,48.07
1392.00,0.23,0.15,-10.23,0.00,-0.01,-0.01,-29.69,-18.86,48.75
1444.00,0.22,0.18,-10.18,-0.00,-0.01,-0.01,-29.69,-18.86,48.75
1496.00,0.56,1.39,-10.60,-0.11,-0.05,0.31,-29.69,-18.86,48.75
1547.00,-0.17,0.98,-10.69,-0.27,-0.11,1.92,-27.76,-21.86,49.26
1599.00,0.24,0.72,-10.34,0.03,-0.05,0.42,-27.76,-21.86,49.26
1651.00,-0.15,-0.49,-10.23,0.14,0.02,-0.83,-27.24,-22.39,51.13
1702.00,0.38,-0.56,-10.10,-0.09,-0.06,0.26,-27.24,-22.39,51.13
1754.00,-0.04,1.35,-10.29,-0.16,-0.00,1.89,-27.24,-22.39,51.13
1806.00,0.30,0.36,-10.38,0.16,0.07,0.98,-27.59,-22.74,49.77
1857.00,0.17,0.24,-10.22,0.03,0.01,0.59,-27.59,-22.74,49.77
1909.00,0.04,0.39,-10.21,-0.07,-0.04,0.32,-24.95,-22.21,48.92
1960.00,0.22,0.13,-10.17,0.03,0.01,0.15,-24.95,-22.21,48.92
2012.00,0.25,0.06,-10.18,0.03,0.01,-0.01,-25.83,-24.86,48.75
2064.00,0.15,0.17,-10.20,-0.02,-0.02,-0.01,-25.83,-24.86,48.75
2116.00,0.20,0.13,-10.20,-0.00,-0.01,-0.01,-25.83,-24.86,48.75
2167.00,0.21,0.14,-10.22,-0.00,-0.01,-0.01,-25.83,-24.86,48.75
2219.00,0.20,0.11,-10.20,-0.00,-0.01,-0.01,-25.83,-24.86,48.75
2271.00,0.21,0.13,-10.20,0.00,-0.01,-0.01,-24.60,-23.62,49.26
2322.00,0.20,0.13,-10.20,-0.00,-0.01,-0.01,-24.60,-23.62,49.26
2374.00,0.20,0.11,-10.22,0.00,-0.01,-0.01,-24.60,-23.62,49.26
