time,ax,ay,az,gx,gy,gz,mx,my,mz
51.00,0.11,0.08,-10.23,0.00,-0.00,0.00,-29.87,-19.04,47.56
103.00,0.06,0.10,-10.22,-0.00,-0.00,0.00,-30.40,-20.98,47.05
155.00,0.15,0.14,-10.19,-0.00,-0.00,-0.00,-30.40,-20.98,47.05
207.00,0.06,0.11,-10.19,-0.00,0.00,0.00,-30.40,-20.98,47.05
259.00,0.11,0.13,-10.21,-0.00,-0.00,0.00,-30.05,-19.22,46.71
311.00,0.12,0.13,-10.19,-0.00,0.00,0.00,-30.05,-19.22,46.71
362.00,0.10,0.09,-10.23,-0.00,0.00,0.00,-30.40,-19.92,48.07
414.00,0.13,0.13,-10.21,-0.00,-0.00,0.00,-30.40,-19.92,48.07
466.00,0.11,0.12,-10.20,-0.00,0.00,0.00,-30.40,-20.27,47.39
518.00,0.11,0.10,-10.19,-0.00,0.00,0.00,-30.40,-20.27,47.39
570.00,0.11,0.11,-10.18,0.00,-0.00,-0.00,-30.40,-20.27,47.39
622.00,0.14,0.07,-9.90,-0.00,-0.00,0.00,-29.69,-20.27,46.37
838.00,0.15,0.12,-10.17,-0.00,0.00,0.00,-29.34,-20.98,47.39
890.00,0.08,0.13,-10.20,-0.00,0.00,-0.00,-30.92,-19.75,48.58
942.00,0.12,0.08,-10.17,-0.00,0.00,0.00,-30.92,-19.75,48.58
994.00,0.09,0.16,-10.17,-0.00,0.00,0.00,-31.28,-19.39,47.90
1046.00,0.10,0.07,-10.16,-0.00,-0.00,0.00,-31.28,-19.39,47.90
1098.00,0.13,0.16,-10.22,-0.00,0.00,0.00,-29.69,-18.86,47.05
1150.00,0.13,0.10,-10.17,-0.00,0.00,-0.00,-29.69,-18.86,47.05
1202.00,0.08,0.10,-10.20,-0.00,-0.00,0.00,-29.69,-18.86,47.05
1254.00,0.11,0.18,-10.06,-0.00,0.00,0.00,-29.87,-19.39,47.90
1306.00,0.07,0.08,-10.08,-0.00,0.00,0.00,-29.87,-19.39,47.90
1358.00,0.11,0.14,-10.37,-0.00,-0.00,-0.00,-29.69,-19.92,46.71
1410.00,0.07,0.05,-10.06,-0.00,-0.00,0.00,-29.69,-19.92,46.71
1462.00,0.12,0.09,-9.93,0.00,0.00,0.00,-29.69,-21.33,48.07
1514.00,0.05,0.11,-10.60,-0.00,0.00,0.00,-29.69,-21.33,48.07
1566.00,0.10,0.11,-10.33,0.00,0.00,0.00,-29.69,-21.33,48.07
1618.00,0.18,0.17,-10.10,0.00,0.00,0.00,-30.22,-20.10,47.22
1670.00,0.09,0.13,-10.13,-0.00,0.00,0.00,-30.22,-20.10,47.22
1722.00,0.13,0.07,-10.23,-0.00,0.00,0.00,-30.57,-19.39,47.56
1774.00,0.14,0.13,-10.12,-0.00,-0.00,0.00,-30.57,-19.39,47.56
1994.00,0.02,0.05,-10.24,0.00,0.00,0.00,-29.69,-20.98,47.05
2046.00,0.18,0.10,-10.11,0.00,0.00,0.00,-29.69,-20.98,47.05
2098.00,0.06,0.11,-10.25,-0.00,0.00,0.00,-29.69,-20.98,47.05
2150.00,0.16,0.09,-10.15,0.00,0.00,0.00,-31.45,-19.57,47.39
2203.00,0.09,0.18,-10.24,-0.00,0.00,0.00,-31.45,-19.57,47.39
2255.00,0.13,0.10,-10.22,-0.00,-0.00,0.00,-31.28,-20.10,47.90
2307.00,0.11,0.14,-10.22,-0.00,-0.00,0.00,-31.28,-20.10,47.90
2359.00,0.13,0.11,-10.22,0.00,0.00,0.00,-30.92,-18.33,47.90
2411.00,0.10,0.13,-10.24,-0.00,0.00,0.00,-30.92,-18.33,47.90
2463.00,0.14,0.12,-10.19,0.00,0.01,0.00,-30.75,-19.22,47.39
2515.00,0.16,0.13,-9.94,0.00,0.00,0.00,-30.75,-19.22,47.39
2568.00,0.13,0.07,-10.14,-0.00,0.00,0.00,-30.75,-19.22,47.39
2620.00,0.15,0.15,-10.20,-0.00,0.00,0.00,-30.57,-20.10,47.90
2672.00,0.13,0.14,-10.20,-0.00,0.00,0.00,-30.57,-20.10,47.90
2724.00,0.13,0.11,-10.18,-0.00,0.00,0.00,-30.22,-19.75,48.24
2776.00,0.12,0.15,-10.19,-0.00,0.00,0.00,-30.22,-19.75,48.24
2828.00,0.14,0.11,-10.18,-0.00,0.00,0.00,-30.22,-19.75,48.24
2880.00,0.11,0.15,-10.35,-0.00,0.00,0.00,-30.05,-20.27,47.73
2933.00,0.14,0.16,-10.25,-0.00,0.00,0.00,-30.05,-20.27,47.73
2985.00,0.26,0.33,-9.96,-0.01,0.00,-0.00,-30.75,-20.27,48.07
3230.00,0.15,0.03,-10.19,-0.00,0.00,0.00,-28.99,-19.92,47.73
3282.00,0.13,0.14,-10.18,-0.00,0.00,0.00,-28.99,-19.92,47.73
3334.00,0.14,0.11,-10.18,-0.00,0.00,-0.00,-28.99,-19.92,47.73
3386.00,0.11,0.11,-10.20,-0.00,0.00,0.00,-31.28,-19.75,46.88
3438.00,0.13,0.15,-10.20,-0.00,0.00,0.00,-31.28,-19.75,46.88
3490.00,0.12,0.11,-10.20,-0.00,-0.00,0.00,-30.05,-20.27,46.37
3542.00,0.12,0.15,-10.21,-0.00,-0.00,-0.00,-30.05,-20.27,46.37
3595.00,0.14,0.10,-10.24,-0.00,0.00,0.00,-30.05,-20.27,46.37
3647.00,0.12,0.13,-10.21,-0.00,-0.00,0.00,-31.80,-20.98,48.41
3699.00,0.15,0.12,-10.18,-0.00,0.00,0.00,-31.80,-20.98,48.41
3751.00,0.12,0.17,-10.20,-0.00,-0.00,0.00,-30.22,-19.04,47.90
3803.00,0.13,0.12,-10.11,-0.00,-0.00,0.00,-30.22,-19.04,47.90
3856.00,0.14,0.11,-10.15,0.00,0.00,0.00,-30.92,-20.80,46.54
3908.00,0.14,0.11,-10.17,-0.00,-0.00,0.00,-30.92,-20.80,46.54
3960.00,0.13,0.10,-10.22,-0.00,-0.00,0.00,-30.92,-20.80,46.54
4012.00,0.14,0.11,-10.22,-0.00,0.00,0.00,-29.34,-20.63,47.73
4064.00,0.11,0.11,-10.20,-0.00,0.00,0.00,-29.34,-20.63,47.73
4116.00,0.13,0.13,-10.21,-0.00,-0.00,0.00,-30.22,-20.10,46.20
4168.00,0.11,0.10,-10.20,0.00,-0.00,0.00,-30.22,-20.10,46.20
4392.00,0.14,0.12,-10.19,-0.00,0.00,0.00,-30.57,-21.51,47.90
4444.00,0.14,0.09,-10.20,-0.00,0.00,0.00,-30.57,-21.51,47.90
4496.00,0.14,0.13,-10.21,-0.00,0.00,0.00,-31.45,-19.57,47.39
4548.00,0.14,0.11,-10.18,0.00,-0.00,0.00,-31.45,-19.57,47.39
4601.00,0.13,0.16,-10.20,-0.00,-0.00,0.00,-31.45,-19.57,47.39
4653.00,0.13,0.11,-10.21,-0.00,0.00,-0.00,-31.10,-18.86,46.71
4705.00,0.13,0.13,-10.18,-0.00,0.00,0.00,-31.10,-18.86,46.71
4757.00,0.15,0.11,-10.23,-0.00,0.00,0.00,-31.28,-19.75,46.54
4810.00,0.13,0.12,-10.19,-0.00,0.00,0.00,-31.28,-19.75,46.54
4862.00,0.14,0.11,-10.21,-0.00,-0.00,0.00,-31.45,-19.57,47.05
4914.00,0.12,0.12,-10.20,-0.00,0.00,0.00,-31.45,-19.57,47.05
4966.00,0.13,0.13,-10.20,-0.00,0.00,0.00,-31.45,-19.57,47.05
5019.00,0.14,0.12,-10.20,-0.00,0.00,0.00,-30.40,-19.92,47.39
5071.00,0.14,0.13,-10.19,-0.00,0.00,0.00,-30.40,-19.92,47.39
5123.00,0.12,0.10,-10.21,-0.00,-0.00,0.00,-31.10,-19.22,47.39
5175.00,0.12,0.14,-10.19,-0.00,0.00,0.00,-31.10,-19.22,47.39
5228.00,0.16,0.12,-10.20,-0.00,0.00,0.00,-31.45,-20.98,47.39
5280.00,0.11,0.08,-10.21,-0.00,0.00,0.00,-31.45,-20.98,47.39
5332.00,0.14,0.12,-10.19,-0.00,-0.00,0.00,-31.45,-20.98,47.39
5512.00,0.14,0.12,-10.20,-0.00,-0.00,0.00,-29.52,-21.16,45.52
5565.00,0.13,0.11,-10.19,-0.00,0.00,0.00,-29.52,-21.16,45.52
5617.00,0.12,0.12,-10.21,-0.00,-0.00,0.00,-30.40,-19.22,45.69
5669.00,0.11,0.13,-10.20,-0.00,-0.00,0.00,-30.40,-19.22,45.69
5722.00,0.14,0.11,-10.20,-0.00,-0.00,0.00,-30.40,-19.22,45.69
5774.00,0.15,0.14,-10.18,-0.00,0.00,0.00,-29.17,-19.39,45.86
5826.00,0.15,0.08,-10.20,0.00,-0.00,0.00,-29.17,-19.39,45.86
5879.00,0.12,0.11,-10.23,-0.00,0.00,0.00,-30.22,-20.10,46.88
5931.00,0.15,0.12,-10.17,-0.00,-0.00,0.00,-30.22,-20.10,46.88
5983.00,0.09,0.15,-10.18,-0.00,0.00,0.00,-30.22,-20.10,46.88
6036.00,0.13,0.07,-10.20,0.00,0.00,0.00,-29.87,-19.39,47.56
6088.00,0.13,0.15,-10.18,-0.00,0.00,0.00,-29.87,-19.39,47.56
6140.00,0.13,0.08,-10.22,0.00,0.00,0.00,-30.22,-19.75,46.88
