time,ax,ay,az,gx,gy,gz,mx,my,mz
49.00,0.18,0.19,-10.19,-0.00,-0.01,-0.02,-28.82,-23.27,48.92
100.00,0.17,0.21,-10.21,0.00,-0.01,-0.01,-27.41,-21.16,47.22
151.00,0.17,0.19,-10.17,0.00,-0.01,-0.01,-27.41,-21.16,47.22
202.00,0.17,0.20,-10.19,-0.00,-0.01,-0.02,-27.41,-21.16,47.22
252.00,0.19,0.21,-10.22,0.01,-0.01,-0.01,-27.59,-22.04,47.39
303.00,0.18,0.18,-10.19,0.00,-0.01,-0.01,-27.59,-22.04,47.39
354.00,0.18,0.19,-10.21,-0.01,-0.01,-0.01,-27.24,-21.33,48.41
404.00,0.16,0.18,-10.17,-0.00,-0.01,-0.01,-27.24,-21.33,48.41
455.00,0.18,0.20,-10.22,-0.00,-0.01,-0.01,-28.46,-20.80,47.22
506.00,0.17,0.19,-10.16,0.00,-0.02,-0.01,-28.46,-20.80,47.22
556.00,0.17,0.20,-10.21,0.01,-0.01,-0.01,-28.46,-20.80,47.22
607.00,0.20,0.23,-10.26,-0.01,-0.00,-0.02,-28.46,-21.51,47.90
658.00,0.16,0.17,-10.19,0.00,-0.01,-0.02,-28.46,-21.51,47.90
708.00,0.17,0.19,-10.19,-0.00,-0.00,-0.01,-28.82,-22.21,47.90
759.00,0.19,0.22,-10.22,-0.00,-0.01,-0.01,-28.82,-22.21,47.90
810.00,0.18,0.19,-10.19,-0.01,-0.00,-0.01,-28.82,-22.21,47.90
860.00,0.18,0.20,-10.20,-0.00,-0.01,-0.01,-28.11,-22.21,46.54
911.00,0.17,0.19,-10.21,0.00,-0.01,-0.01,-28.11,-22.21,46.54
962.00,0.17,0.17,-10.21,0.00,-0.01,-0.01,-27.76,-21.86,46.88
1013.00,0.18,0.20,-10.21,0.00,-0.01,-0.01,-27.76,-21.86,46.88
1063.00,0.17,0.17,-10.18,-0.00,-0.01,-0.01,-27.76,-21.86,46.88
1114.00,0.17,0.19,-10.21,-0.00,-0.01,-0.01,-26.88,-20.98,46.37
1165.00,0.16,0.18,-10.21,0.00,-0.01,-0.01,-26.88,-20.98,46.37
1216.00,0.17,0.21,-10.22,0.00,-0.01,-0.01,-27.59,-22.39,48.07
1266.00,0.17,0.20,-10.19,0.00,-0.01,-0.01,-27.59,-22.39,48.07
1317.00,0.18,0.20,-10.19,-0.00,-0.01,-0.01,-27.59,-22.39,48.07
1368.00,0.17,0.18,-10.20,0.00,-0.01,-0.01,-27.59,-21.68,46.71
1419.00,0.17,0.20,-10.20,0.00,-0.01,-0.01,-27.59,-21.68,46.71
1470.00,0.16,0.18,-10.17,0.00,-0.01,-0.02,-28.64,-20.63,47.39
1520.00,0.19,0.22,-10.21,-0.00,-0.01,-0.02,-28.64,-20.63,47.39
1571.00,0.16,0.18,-10.21,-0.00,-0.01,-0.01,-28.11,-21.86,47.22
1622.00,0.20,0.21,-10.23,0.01,-0.01,-0.01,-28.11,-21.86,47.22
1673.00,0.23,0.24,-10.20,0.00,-0.00,0.01,-28.11,-21.86,47.22
1724.00,0.19,0.20,-10.21,0.00,-0.01,0.02,-29.17,-21.16,46.54
1774.00,-0.02,0.36,-10.16,0.02,-0.00,0.05,-29.17,-21.16,46.54
1825.00,0.15,0.15,-10.21,0.04,-0.03,-0.06,-29.17,-21.16,46.54
1876.00,0.22,0.07,-10.19,0.01,-0.01,-0.04,-28.29,-22.74,46.37
1927.00,0.26,0.07,-10.18,0.01,-0.00,-0.07,-28.29,-22.74,46.37
1978.00,0.31,0.06,-10.21,-0.02,-0.01,-0.08,-27.41,-21.51,46.20
2028.00,0.18,0.13,-10.19,-0.01,0.01,-0.02,-27.41,-21.51,46.20
2079.00,0.20,0.19,-10.24,0.01,-0.01,-0.01,-27.41,-21.51,46.20
2130.00,0.17,0.09,-10.15,0.01,-0.02,-0.01,-27.06,-20.80,45.86
2181.00,0.17,0.10,-10.16,0.01,-0.01,-0.00,-27.06,-20.80,45.86
2232.00,0.18,0.11,-10.19,0.01,-0.01,-0.00,-28.82,-20.45,45.86
2282.00,0.17,0.14,-10.19,0.00,-0.01,-0.01,-28.82,-20.45,45.86
2333.00,0.16,0.14,-10.23,-0.02,-0.01,-0.01,-27.59,-21.68,47.39
2384.00,0.18,0.18,-10.23,0.00,-0.01,-0.01,-27.59,-21.68,47.39
2435.00,0.17,0.17,-10.20,0.00,-0.01,-0.02,-27.59,-21.68,47.39
2486.00,0.28,0.25,-10.25,0.02,-0.00,-0.04,-27.76,-20.45,47.22
2537.00,0.11,0.10,-10.22,-0.02,-0.00,-0.04,-27.76,-20.45,47.22
2587.00,0.04,0.25,-10.33,0.05,0.01,0.05,-26.71,-21.51,47.22
2638.00,0.21,-0.05,-10.20,-0.02,-0.01,0.09,-26.71,-21.51,47.22
2689.00,-0.48,0.07,-9.88,-0.08,-0.03,-0.06,-26.71,-21.51,47.22
2740.00,0.37,0.09,-10.23,-0.02,-0.00,-0.06,-26.53,-21.68,46.37
2791.00,0.15,0.26,-10.28,0.08,0.09,-0.01,-26.53,-21.68,46.37
2842.00,0.15,-0.04,-10.05,0.05,0.02,0.01,-28.11,-20.45,45.52
2893.00,0.08,0.08,-10.22,-0.10,-0.04,0.02,-28.11,-20.45,45.52
2943.00,0.21,0.04,-10.10,-0.07,0.04,-0.22,-28.11,-20.45,45.52
2994.00,0.05,0.47,-10.27,-0.02,0.02,-0.13,-26.71,-21.86,46.54
3045.00,0.23,0.17,-10.22,-0.00,-0.00,-0.36,-26.71,-21.86,46.54
3096.00,-0.02,0.38,-10.13,0.00,-0.10,-0.30,-29.52,-20.80,47.22
3147.00,0.17,0.07,-10.17,-0.02,-0.03,-0.19,-29.52,-20.80,47.22
3198.00,0.11,0.17,-10.16,-0.00,-0.01,-0.01,-29.52,-20.80,47.22
3249.00,0.16,0.19,-10.22,-0.00,-0.01,-0.01,-27.94,-21.33,46.03
3300.00,0.17,0.17,-10.17,0.00,-0.01,-0.01,-27.94,-21.33,46.03
