time,ax,ay,az,gx,gy,gz,mx,my,mz
209.00,-0.08,-0.40,-10.18,0.00,-0.01,-0.01,-28.29,-20.63,45.69
213.00,-0.08,-0.40,-10.18,0.00,-0.01,-0.01,-28.29,-20.63,45.69
216.00,-0.08,-0.40,-10.18,0.00,-0.01,-0.01,-28.29,-20.63,45.69
219.00,-0.08,-0.40,-10.18,0.00,-0.01,-0.01,-28.29,-20.63,45.69
222.00,-0.07,-0.38,-10.19,0.00,-0.01,-0.01,-28.29,-20.63,45.69
226.00,-0.07,-0.38,-10.19,0.00,-0.01,-0.01,-28.29,-20.63,45.69
229.00,-0.07,-0.38,-10.19,0.00,-0.01,-0.01,-28.29,-20.63,45.69
232.00,-0.07,-0.38,-10.19,0.00,-0.01,-0.01,-28.29,-20.63,45.69
236.00,-0.07,-0.38,-10.19,0.00,-0.01,-0.01,-28.29,-20.63,45.69
239.00,-0.07,-0.38,-10.19,0.00,-0.01,-0.01,-28.29,-20.63,45.69
242.00,-0.07,-0.40,-10.18,0.00,-0.01,-0.01,-28.29,-20.63,45.69
245.00,-0.07,-0.40,-10.18,0.00,-0.01,-0.01,-28.29,-20.63,45.69
249.00,-0.07,-0.40,-10.18,0.00,-0.01,-0.01,-28.29,-20.63,45.69
252.00,-0.07,-0.40,-10.18,0.00,-0.01,-0.01,-28.29,-20.63,45.69
255.00,-0.07,-0.40,-10.18,0.00,-0.01,-0.01,-28.29,-20.63,45.69
258.00,-0.07,-0.40,-10.18,0.00,-0.01,-0.01,-28.29,-20.63,45.69
262.00,-0.07,-0.40,-10.20,0.00,-0.01,-0.01,-27.41,-19.39,45.52
265.00,-0.07,-0.40,-10.20,0.00,-0.01,-0.01,-27.41,-19.39,45.52
268.00,-0.07,-0.40,-10.20,0.00,-0.01,-0.01,-27.41,-19.39,45.52
272.00,-0.07,-0.40,-10.20,0.00,-0.01,-0.01,-27.41,-19.39,45.52
275.00,-0.07,-0.40,-10.20,0.00,-0.01,-0.01,-27.41,-19.39,45.52
278.00,-0.07,-0.40,-10.20,0.00,-0.01,-0.01,-27.41,-19.39,45.52
282.00,-0.08,-0.39,-10.21,0.00,-0.01,-0.01,-27.41,-19.39,45.52
285.00,-0.08,-0.39,-10.21,0.00,-0.01,-0.01,-27.41,-19.39,45.52
288.00,-0.08,-0.39,-10.21,0.00,-0.01,-0.01,-27.41,-19.39,45.52
