time,ax,ay,az,gx,gy,gz,mx,my,mz
52.00,0.25,0.15,-10.17,-0.00,0.00,-0.00,-27.24,-22.04,49.09
105.00,0.21,0.15,-10.17,-0.00,0.00,0.00,-27.24,-22.04,48.41
158.00,0.32,0.13,-10.17,-0.00,0.00,0.00,-27.24,-22.04,48.41
211.00,0.18,0.14,-10.16,-0.00,-0.00,0.00,-27.41,-23.27,49.26
264.00,0.32,0.14,-10.24,0.00,-0.00,0.00,-27.41,-23.27,49.26
317.00,0.23,0.24,-10.20,-0.00,0.00,0.00,-27.41,-23.62,48.24
369.00,0.25,0.12,-10.18,-0.00,-0.00,0.00,-27.41,-23.62,48.24
423.00,0.22,0.18,-10.19,-0.00,-0.00,0.00,-27.41,-23.62,48.24
653.00,0.22,0.17,-10.15,-0.00,0.00,0.00,-27.41,-22.92,49.26
706.00,0.27,0.13,-10.19,-0.00,0.00,0.00,-27.59,-22.04,49.09
759.00,0.23,0.18,-10.16,-0.00,0.00,0.00,-27.59,-22.04,49.09
812.00,0.25,0.16,-10.17,-0.00,0.00,0.00,-27.59,-22.04,49.09
865.00,0.22,0.15,-10.19,-0.00,-0.00,0.00,-28.29,-23.09,48.75
918.00,0.25,0.13,-10.19,-0.00,-0.00,0.00,-28.29,-23.09,48.75
971.00,0.23,0.15,-10.18,-0.00,-0.00,0.00,-28.82,-21.51,49.60
1024.00,0.25,0.13,-10.17,-0.00,0.00,0.00,-28.82,-21.51,49.60
1077.00,0.23,0.17,-10.18,-0.00,-0.00,0.00,-28.29,-23.45,48.75
1130.00,0.24,0.13,-10.19,-0.00,0.00,0.00,-28.29,-23.45,48.75
1183.00,0.24,0.16,-10.20,-0.00,0.00,0.00,-28.82,-22.21,48.24
1236.00,0.25,0.15,-10.20,0.00,0.00,0.00,-28.82,-22.21,48.24
1289.00,0.24,0.17,-10.16,-0.00,0.00,0.00,-28.82,-22.21,48.24
1342.00,0.24,0.13,-10.18,-0.00,-0.00,0.00,-27.76,-22.92,48.92
1395.00,0.24,0.15,-10.18,-0.00,0.00,0.00,-27.76,-22.92,48.92
1448.00,0.26,0.15,-10.21,0.00,-0.00,0.00,-25.83,-22.74,49.09
1501.00,0.24,0.16,-10.18,-0.00,0.00,-0.00,-25.83,-22.74,49.09
1554.00,0.25,0.13,-10.18,-0.00,-0.00,0.00,-25.83,-22.74,49.09
1607.00,0.25,0.16,-10.19,-0.00,0.00,0.00,-28.82,-22.57,48.58
1660.00,0.25,0.15,-10.18,-0.00,0.00,-0.00,-28.82,-22.57,48.58
1889.00,0.25,0.17,-10.15,-0.00,0.00,0.00,-28.29,-22.39,49.77
1942.00,0.23,0.16,-10.20,-0.00,0.00,0.00,-28.11,-22.57,49.26
1995.00,0.25,0.17,-10.20,-0.00,0.00,-0.00,-28.11,-22.57,49.26
2048.00,0.25,0.15,-10.18,-0.00,0.00,0.00,-28.11,-22.57,49.26
2102.00,0.24,0.14,-10.18,-0.00,0.00,0.00,-29.87,-23.62,47.56
2155.00,0.23,0.14,-10.18,-0.00,0.00,0.00,-29.87,-23.62,47.56
2208.00,0.25,0.15,-10.21,0.00,-0.00,-0.00,-28.11,-20.80,48.58
2261.00,0.24,0.16,-10.19,-0.00,0.00,0.00,-28.11,-20.80,48.58
2314.00,0.25,0.15,-10.17,-0.00,0.00,-0.00,-28.11,-20.80,48.58
2367.00,0.24,0.14,-10.17,-0.00,0.00,0.00,-28.99,-22.39,48.07
2420.00,0.25,0.16,-10.17,-0.00,0.00,0.00,-28.99,-22.39,48.07
2473.00,0.24,0.15,-10.20,-0.00,0.00,0.00,-28.11,-22.21,48.58
2526.00,0.25,0.15,-10.20,-0.00,-0.00,0.00,-28.11,-22.21,48.58
2579.00,0.23,0.17,-10.20,-0.00,-0.00,0.00,-29.17,-21.86,48.92
2633.00,0.25,0.14,-10.17,-0.00,0.00,0.00,-29.17,-21.86,48.92
2686.00,0.24,0.15,-10.18,-0.00,0.00,0.00,-27.59,-22.04,47.05
2739.00,0.27,0.14,-10.20,-0.00,0.00,-0.00,-27.59,-22.04,47.05
2792.00,0.24,0.15,-10.21,-0.00,0.00,-0.00,-27.59,-22.04,47.05
2845.00,0.27,0.16,-10.21,-0.00,-0.00,0.00,-27.94,-22.04,48.41
3072.00,0.24,0.15,-10.18,-0.00,0.00,0.00,-27.24,-22.04,47.73
3125.00,0.24,0.15,-10.16,-0.00,0.00,0.00,-27.24,-22.04,47.73
3178.00,0.24,0.14,-10.20,-0.00,0.00,0.00,-27.24,-22.04,47.73
3231.00,0.23,0.15,-10.20,-0.00,0.00,0.00,-27.24,-22.04,47.73
3285.00,0.24,0.13,-10.20,-0.00,0.00,0.00,-27.24,-22.04,47.73
3338.00,0.25,0.15,-10.22,-0.00,-0.00,0.00,-27.94,-22.04,49.09
3391.00,0.25,0.14,-10.20,-0.00,0.00,0.00,-27.94,-22.04,49.09
3444.00,0.22,0.15,-10.21,-0.00,0.00,0.00,-28.46,-20.45,47.22
3497.00,0.24,0.16,-10.19,-0.00,0.00,0.00,-28.46,-20.45,47.22
3551.00,0.24,0.15,-10.21,-0.00,0.00,0.00,-28.46,-20.45,47.22
3604.00,0.25,0.15,-10.20,-0.00,0.00,0.00,-27.59,-21.33,46.37
3657.00,0.25,0.15,-10.20,-0.00,0.00,0.00,-27.59,-21.33,46.37
3711.00,0.24,0.14,-10.20,-0.00,0.00,-0.00,-28.11,-21.86,48.92
3764.00,0.25,0.15,-10.15,-0.00,0.00,-0.00,-28.11,-21.86,48.92
3817.00,0.24,0.14,-10.11,0.00,0.00,0.00,-28.11,-21.86,48.92
3870.00,0.26,0.17,-10.12,-0.00,0.00,0.00,-27.24,-22.74,48.07
3924.00,0.27,0.14,-10.14,-0.00,0.00,0.00,-27.24,-22.74,48.07
3977.00,0.25,0.14,-10.19,-0.00,0.00,0.00,-27.94,-22.39,47.73
4030.00,0.25,0.16,-10.18,-0.00,0.00,-0.00,-27.94,-22.39,47.73
4250.00,0.25,0.13,-10.21,-0.00,-0.00,0.00,-28.11,-22.92,47.90
4303.00,0.24,0.16,-10.18,-0.00,0.00,0.00,-28.11,-22.92,47.90
4357.00,0.25,0.16,-10.19,-0.00,-0.00,0.00,-28.64,-22.04,48.41
4410.00,0.24,0.14,-10.18,-0.00,0.00,0.00,-28.64,-22.04,48.41
4463.00,0.26,0.13,-10.20,-0.00,-0.00,-0.00,-26.88,-22.04,48.41
4516.00,0.25,0.16,-10.19,-0.00,-0.00,0.00,-26.88,-22.04,48.41
4570.00,0.25,0.14,-10.21,-0.00,-0.00,-0.00,-29.17,-23.27,49.94
4623.00,0.25,0.14,-10.20,-0.00,0.00,0.00,-29.17,-23.27,49.94
4676.00,0.25,0.16,-10.18,-0.00,0.00,0.00,-29.17,-23.27,49.94
4729.00,0.24,0.16,-10.18,0.00,0.00,-0.00,-27.94,-23.09,47.73
4783.00,0.18,0.24,-10.12,-0.03,-0.01,-0.01,-27.94,-23.09,47.73
4836.00,0.25,-0.06,-10.06,-0.01,0.00,-0.01,-27.76,-22.21,48.24
4889.00,3.85,-0.40,-9.83,0.54,-0.14,1.01,-27.76,-22.21,48.24
4942.00,-0.46,1.47,-8.69,0.07,0.03,0.06,-27.59,-22.04,49.43
4996.00,2.52,-0.70,-10.13,0.00,0.05,0.44,-27.59,-22.04,49.43
5049.00,-1.01,1.48,-9.62,-0.21,-0.05,0.83,-27.59,-22.04,49.43
5102.00,0.50,-0.80,-10.48,0.20,0.01,-0.39,-27.41,-23.98,48.24
5156.00,-1.59,-1.66,-10.55,0.03,0.02,-0.27,-27.41,-23.98,48.24
5209.00,-1.37,-0.37,-9.79,-0.18,-0.04,1.00,-27.41,-21.51,47.90
5440.00,0.20,0.18,-10.34,-0.01,-0.00,0.19,-24.78,-23.09,48.07
5493.00,0.17,0.15,-10.23,-0.00,-0.00,0.02,-24.42,-22.74,49.77
5547.00,0.21,0.08,-10.24,0.00,0.00,-0.00,-24.42,-22.74,49.77
5600.00,0.22,0.14,-10.22,-0.00,-0.00,0.00,-26.01,-23.27,48.24
5654.00,0.21,0.08,-10.20,-0.00,0.00,0.00,-26.01,-23.27,48.24
5707.00,0.22,0.11,-10.20,-0.00,-0.00,0.00,-23.72,-22.39,48.41
5761.00,0.22,0.10,-10.18,-0.00,0.00,-0.00,-23.72,-22.39,48.41
5814.00,0.21,0.10,-10.17,-0.00,-0.00,0.00,-23.72,-22.39,48.41
5867.00,0.22,0.10,-10.21,-0.00,0.00,0.00,-26.18,-22.04,48.41
5921.00,0.22,0.09,-10.17,-0.00,-0.00,-0.00,-26.18,-22.04,48.41
5974.00,0.19,0.10,-10.19,-0.00,0.00,0.00,-25.13,-23.80,49.09
6028.00,0.22,0.11,-10.20,-0.00,0.00,0.00,-25.13,-23.80,49.09
6081.00,0.21,0.11,-10.31,-0.00,0.00,0.00,-25.13,-23.09,49.43
6134.00,0.22,0.08,-10.14,0.00,0.00,-0.00,-25.13,-23.09,49.43
6188.00,0.20,0.09,-10.17,-0.00,-0.00,0.00,-25.13,-23.09,49.43
6241.00,0.21,0.09,-10.17,-0.00,0.00,0.00,-24.60,-23.62,48.58
6295.00,0.23,0.11,-10.21,-0.00,0.00,0.00,-24.60,-23.62,48.58
6348.00,0.20,0.11,-10.23,-0.00,-0.00,-0.00,-24.60,-23.27,49.26
6402.00,0.20,0.10,-10.19,-0.00,-0.00,0.00,-24.60,-23.27,49.26
6639.00,0.21,0.11,-10.18,-0.00,-0.00,-0.00,-25.48,-22.74,48.75
6693.00,0.21,0.12,-10.19,-0.00,-0.00,-0.00,-25.48,-22.74,48.75
6746.00,0.22,0.10,-10.20,-0.00,-0.00,0.00,-24.78,-23.45,49.09
6800.00,0.22,0.09,-10.20,-0.00,0.00,0.00,-24.78,-23.45,49.09
6853.00,0.22,0.11,-10.19,-0.00,0.00,0.00,-25.48,-22.74,49.09
6907.00,0.20,0.10,-10.21,-0.00,-0.00,-0.00,-25.48,-22.74,49.09
6960.00,0.19,0.11,-10.19,-0.00,-0.00,0.00,-24.95,-23.27,48.58
7014.00,0.98,-1.09,-10.10,-0.01,0.01,1.13,-24.95,-23.27,48.58
7067.00,0.39,0.07,-10.26,-0.05,-0.01,2.44,-23.55,-24.33,48.58
7121.00,-0.75,1.68,-10.19,-0.20,0.05,2.02,-23.55,-24.33,48.58
