time,ax,ay,az,gx,gy,gz,mx,my,mz
87.00,0.21,0.11,-10.23,0.00,0.00,0.00,-28.82,-20.10,43.14
138.00,0.20,0.23,-10.24,-0.00,0.00,0.00,-28.82,-20.10,43.14
190.00,0.22,0.07,-10.17,-0.00,0.00,0.00,-28.82,-20.10,43.14
241.00,0.20,0.10,-10.22,0.00,0.00,0.00,-26.88,-20.63,44.67
292.00,0.22,0.11,-10.20,-0.00,0.00,0.00,-26.88,-20.63,44.67
343.00,0.18,0.10,-10.20,-0.00,0.00,0.00,-26.88,-20.63,44.67
395.00,0.21,0.10,-10.19,-0.00,0.00,0.00,-27.59,-20.63,44.67
446.00,0.20,0.11,-10.19,-0.00,0.00,0.00,-27.59,-20.63,44.67
497.00,0.21,0.11,-10.21,-0.00,0.00,0.00,-27.24,-21.33,44.33
549.00,0.19,0.11,-10.21,-0.00,0.00,0.00,-27.24,-21.33,44.33
600.00,0.20,0.10,-10.23,-0.00,0.00,0.00,-27.59,-21.33,45.01
651.00,0.20,0.10,-10.20,-0.00,0.00,0.00,-27.59,-21.33,45.01
703.00,0.21,0.11,-10.18,-0.00,0.00,0.00,-27.59,-21.33,45.01
754.00,0.20,0.12,-10.22,-0.00,0.00,0.00,-27.24,-23.45,43.99
806.00,0.23,0.09,-10.20,-0.00,0.00,0.00,-27.24,-23.45,43.99
857.00,0.21,0.10,-10.22,-0.00,0.00,0.00,-28.11,-21.86,45.52
908.00,0.20,0.10,-10.20,-0.00,0.00,0.00,-28.11,-21.86,45.52
959.00,0.20,0.12,-10.22,-0.00,0.00,0.00,-28.11,-21.86,45.52
1011.00,0.21,0.10,-10.23,-0.00,0.00,0.00,-29.34,-21.33,44.67
1062.00,0.21,0.10,-10.22,-0.00,0.00,0.00,-29.34,-21.33,44.67
1113.00,0.20,0.12,-10.23,0.00,0.00,0.00,-27.41,-20.80,43.48
1165.00,0.22,0.09,-10.19,0.00,0.00,0.00,-27.41,-20.80,43.48
1216.00,0.21,0.12,-10.18,-0.00,0.00,0.00,-27.41,-20.80,43.48
1267.00,0.22,0.09,-10.19,-0.00,0.00,0.00,-27.94,-21.68,47.05
1319.00,0.22,0.11,-10.21,-0.00,0.00,0.00,-27.94,-21.68,47.05
1370.00,0.22,0.11,-10.20,-0.00,0.00,0.00,-28.64,-22.04,44.33
1422.00,0.22,0.11,-10.19,-0.00,0.00,0.00,-28.64,-22.04,44.33
1473.00,0.19,0.10,-10.22,-0.00,0.00,0.00,-27.41,-20.80,43.82
1524.00,0.22,0.11,-10.20,-0.00,0.00,0.00,-27.41,-20.80,43.82
1576.00,0.33,-0.04,-10.24,-0.01,-0.01,0.00,-27.41,-20.80,43.82
1627.00,0.91,-0.32,-12.18,0.24,-0.22,0.37,-27.76,-22.21,44.50
1679.00,-0.59,0.11,-9.28,0.04,-0.02,1.11,-27.76,-22.21,44.50
1730.00,0.70,-0.43,-10.76,-0.06,0.04,1.35,-27.06,-21.86,44.84
1781.00,0.09,-0.14,-9.93,-0.05,0.00,2.07,-27.06,-21.86,44.84
1833.00,0.32,0.38,-10.26,-0.23,0.26,1.22,-27.06,-21.86,44.84
1884.00,0.55,0.38,-10.30,-0.04,0.38,1.08,-24.60,-23.98,45.18
1935.00,0.58,0.18,-10.22,-0.13,0.22,1.11,-24.60,-23.98,45.18
1987.00,0.84,0.03,-10.13,0.16,0.39,1.29,-21.09,-24.33,44.16
2038.00,0.77,-0.27,-10.06,-0.05,0.27,1.35,-21.09,-24.33,44.16
2090.00,1.39,-0.04,-9.81,-0.42,-0.01,0.85,-19.86,-24.15,43.99
2141.00,0.51,1.13,-10.38,-1.02,-0.20,0.54,-19.86,-24.15,43.99
2192.00,0.03,0.58,-9.72,0.06,-0.21,0.55,-19.86,-24.15,43.99
2244.00,0.37,0.92,-10.07,0.14,0.02,0.26,-16.17,-27.15,43.82
2295.00,0.61,1.20,-14.46,0.80,0.14,0.36,-16.17,-27.15,43.82
2347.00,0.17,-0.23,-8.83,1.37,-0.78,-0.04,-18.10,-20.98,43.99
2398.00,0.18,0.04,-11.69,1.75,-0.64,-0.12,-18.10,-20.98,43.99
2449.00,0.37,-1.79,-10.12,1.82,-1.63,0.28,-18.10,-20.98,43.99
2501.00,-0.83,-2.95,-10.40,0.97,-1.45,0.28,-23.37,-11.46,46.37
2552.00,-0.63,-1.79,-6.97,1.86,-1.73,0.73,-23.37,-11.46,46.37
2604.00,-2.21,-3.18,-8.69,1.88,-0.67,-0.05,-30.22,-3.88,44.84
2655.00,-2.36,-4.77,-6.56,1.36,-1.57,0.19,-30.22,-3.88,44.84
2706.00,-3.46,-5.00,-7.52,0.62,-0.67,0.47,-30.22,-3.88,44.84
2758.00,-3.71,-4.00,-7.27,0.41,-0.78,0.05,-35.67,1.59,41.95
2809.00,-3.44,-6.48,-6.15,0.34,-0.79,-0.34,-35.67,1.59,41.95
2861.00,-4.04,-6.94,-6.01,-0.42,-0.70,0.24,-40.24,2.64,39.92
2912.00,-5.76,-1.55,-6.65,-0.62,-0.10,0.44,-40.24,2.64,39.92
2964.00,-4.08,-4.38,-8.06,-0.20,0.29,-0.96,-40.24,2.64,39.92
3015.00,-4.88,-9.52,-8.34,0.65,-0.86,-0.59,-39.18,0.18,39.92
3066.00,-7.34,-6.97,-11.14,-0.28,-1.44,0.20,-39.18,0.18,39.92
3118.00,-7.46,-11.02,-17.13,0.48,-1.88,0.57,-39.18,0.18,39.92
3169.00,-5.78,-12.48,-8.66,1.69,-3.55,2.32,-39.18,0.18,39.92
3221.00,-3.55,-7.42,-4.98,1.27,-3.64,3.52,-39.18,0.18,39.92
3272.00,-1.80,-1.81,0.53,-0.17,-3.50,3.65,-59.39,-7.40,20.72
3324.00,-1.13,2.44,5.19,-0.73,-3.25,2.95,-59.39,-7.40,20.72
3375.00,0.06,7.00,12.33,-0.19,-1.24,1.07,-64.13,-26.62,4.93
3426.00,-0.11,6.68,9.81,-0.06,1.63,-0.33,-64.13,-26.62,4.93
3478.00,1.96,5.30,5.12,0.62,3.44,-3.05,-63.43,-22.74,11.04
3529.00,2.39,-6.60,-2.86,0.56,4.37,-4.18,-63.43,-22.74,11.04
3581.00,-2.54,-6.48,-12.77,-0.37,4.21,-3.02,-63.43,-22.74,11.04
3633.00,-7.26,-27.68,-17.82,1.46,2.25,-3.43,-50.78,0.18,31.76
3684.00,-9.73,-27.44,-23.74,0.94,0.90,-0.13,-50.78,0.18,31.76
3736.00,-7.43,-7.50,-8.98,-0.97,-3.01,3.64,-48.32,7.23,31.76
3787.00,-6.81,-1.94,-3.01,-0.65,-2.62,2.58,-48.32,7.23,31.76
3839.00,-5.94,-1.44,-3.91,-0.21,-2.03,1.72,-48.32,7.23,31.76
3891.00,-4.12,-0.48,1.74,-0.46,-2.79,1.01,-58.86,-8.99,20.55
3942.00,-4.94,-1.26,3.94,0.03,-1.93,0.48,-58.86,-8.99,20.55
3994.00,-6.47,-0.87,2.40,-0.10,-0.37,0.51,-64.49,-14.63,9.34
4045.00,-8.06,-0.06,1.99,-0.35,-0.04,0.26,-64.49,-14.63,9.34
4097.00,-7.78,-1.14,1.16,0.37,0.11,-0.79,-64.49,-14.63,9.34
4148.00,-8.65,-4.50,1.37,0.53,0.96,-0.83,-64.31,-14.46,10.19
4200.00,-8.74,-3.15,-2.12,-0.29,1.18,-0.30,-64.31,-14.46,10.19
4252.00,-9.25,-3.66,-1.91,0.13,0.59,-0.73,-62.38,-11.11,14.10
4303.00,-8.50,-4.00,-1.76,0.30,0.48,-0.87,-62.38,-11.11,14.10
4355.00,-8.28,-4.68,-2.07,0.61,0.45,-1.15,-61.50,-3.53,16.99
4406.00,-7.63,-5.98,-3.25,-0.29,0.48,-1.25,-61.50,-3.53,16.99
4458.00,-7.07,-5.11,-4.16,-0.99,-0.15,-0.45,-61.50,-3.53,16.99
4509.00,-8.72,-4.40,-3.68,0.48,-0.58,-0.94,-59.04,-0.71,19.02
4561.00,-6.85,-6.33,-4.01,1.47,-0.86,-1.35,-59.04,-0.71,19.02
4613.00,-6.00,-7.81,-1.86,2.88,-1.90,-0.66,-58.51,9.34,8.66
4664.00,-6.59,-7.48,-1.23,3.96,-2.81,-0.01,-58.51,9.34,8.66
4716.00,-5.72,-5.79,4.00,4.35,-3.13,2.60,-58.51,9.34,8.66
4767.00,-6.15,-1.80,6.34,4.35,-2.72,4.21,-58.69,0.71,-16.65
4819.00,-7.11,4.94,9.69,3.27,-0.63,4.02,-58.69,0.71,-16.65
4870.00,-5.76,7.39,6.23,4.35,0.68,1.32,-55.17,-34.91,-21.06
4922.00,-4.35,5.56,4.23,3.71,-0.10,0.12,-55.17,-34.91,-21.06
4974.00,-3.39,8.19,7.59,2.29,-0.94,0.21,-53.77,-46.89,-11.21
