time,ax,ay,az,gx,gy,gz,mx,my,mz
220.00,-0.12,-0.16,-9.86,-0.01,-0.00,0.01,0.71,38.46,3.08
233.00,-0.12,-0.16,-9.86,-0.01,-0.00,0.01,0.71,38.46,3.08
236.00,-0.12,-0.16,-9.86,-0.01,-0.00,0.01,0.71,38.46,3.08
239.00,-0.12,-0.17,-9.84,-0.01,0.00,0.02,0.71,38.46,3.08
243.00,-0.12,-0.17,-9.84,-0.01,0.00,0.02,0.71,38.46,3.08
246.00,-0.12,-0.17,-9.84,-0.01,0.00,0.02,0.71,38.46,3.08
250.00,-0.12,-0.17,-9.84,-0.01,0.00,0.02,0.71,38.46,3.08
253.00,-0.12,-0.17,-9.84,-0.01,0.00,0.02,0.71,38.46,3.08
256.00,-0.12,-0.17,-9.84,-0.01,0.00,0.02,0.71,38.46,3.08
260.00,-0.12,-0.14,-9.82,-0.00,-0.00,0.02,0.71,38.46,3.08
263.00,-0.12,-0.14,-9.82,-0.00,-0.00,0.02,0.71,38.46,3.08
267.00,-0.12,-0.14,-9.82,-0.00,-0.00,0.02,0.71,38.46,3.08
270.00,-0.12,-0.14,-9.82,-0.00,-0.00,0.02,0.71,38.46,3.08
274.00,-0.12,-0.14,-9.82,-0.00,-0.00,0.02,0.71,38.46,3.08
277.00,-0.13,-0.14,-9.78,-0.00,-0.00,0.02,0.71,38.46,3.08
280.00,-0.13,-0.14,-9.78,-0.00,-0.00,0.02,0.71,38.46,3.08
284.00,-0.13,-0.14,-9.78,-0.00,-0.00,0.02,0.71,38.46,3.08
287.00,-0.13,-0.14,-9.78,-0.00,-0.00,0.02,0.71,38.46,3.08
291.00,-0.13,-0.14,-9.78,-0.00,-0.00,0.02,0.71,38.46,3.08
294.00,-0.13,-0.14,-9.78,-0.00,-0.00,0.02,0.71,38.46,3.08
297.00,-0.11,-0.11,-9.84,-0.00,-0.00,0.01,0.71,38.46,3.08
301.00,-0.11,-0.11,-9.84,-0.00,-0.00,0.01,0.71,38.46,3.08
304.00,-0.11,-0.11,-9.84,-0.00,-0.00,0.01,0.71,38.46,3.08
308.00,-0.11,-0.11,-9.84,-0.00,-0.00,0.01,0.71,38.46,3.08
311.00,-0.11,-0.11,-9.84,-0.00,-0.00,0.01,0.71,38.46,3.08
314.00,-0.11,-0.11,-9.84,-0.00,-0.00,0.01,0.71,38.46,3.08
318.00,-0.11,-0.16,-9.80,-0.00,-0.00,0.01,-0.89,38.99,1.54
321.00,-0.11,-0.16,-9.80,-0.00,-0.00,0.01,-0.89,38.99,1.54
324.00,-0.11,-0.16,-9.80,-0.00,-0.00,0.01,-0.89,38.99,1.54
329.00,-0.11,-0.16,-9.80,-0.00,-0.00,0.01,-0.89,38.99,1.54
332.00,-0.11,-0.16,-9.80,-0.00,-0.00,0.01,-0.89,38.99,1.54
336.00,-0.11,-0.16,-9.80,-0.00,-0.00,0.01,-0.89,38.99,1.54
339.00,-0.12,-0.15,-9.83,-0.01,-0.00,0.01,-0.89,38.99,1.54
343.00,-0.12,-0.15,-9.83,-0.01,-0.00,0.01,-0.89,38.99,1.54
346.00,-0.12,-0.15,-9.83,-0.01,-0.00,0.01,-0.89,38.99,1.54
350.00,-0.12,-0.15,-9.83,-0.01,-0.00,0.01,-0.89,38.99,1.54
353.00,-0.12,-0.15,-9.83,-0.01,-0.00,0.01,-0.89,38.99,1.54
357.00,-0.12,-0.15,-9.83,-0.01,-0.00,0.01,-0.89,38.99,1.54
361.00,-0.10,-0.25,-9.81,0.00,-0.00,0.01,-0.89,38.99,1.54
365.00,-0.10,-0.25,-9.81,0.00,-0.00,0.01,-0.89,38.99,1.54
368.00,-0.10,-0.25,-9.81,0.00,-0.00,0.01,-0.89,38.99,1.54
371.00,-0.10,-0.25,-9.81,0.00,-0.00,0.01,-0.89,38.99,1.54
375.00,-0.10,-0.25,-9.81,0.00,-0.00,0.01,-0.89,38.99,1.54
378.00,-0.13,-0.06,-9.88,-0.00,-0.00,0.01,-0.89,38.99,1.54
382.00,-0.13,-0.06,-9.88,-0.00,-0.00,0.01,-0.89,38.99,1.54
385.00,-0.13,-0.06,-9.88,-0.00,-0.00,0.01,-0.89,38.99,1.54
388.00,-0.13,-0.06,-9.88,-0.00,-0.00,0.01,-0.89,38.99,1.54
392.00,-0.13,-0.06,-9.88,-0.00,-0.00,0.01,-0.89,38.99,1.54
395.00,-0.13,-0.06,-9.88,-0.00,-0.00,0.01,-0.89,38.99,1.54
