time,ax,ay,az,gx,gy,gz,mx,my,mz
2.00,-0.45,-0.52,-10.23,-0.08,0.02,-0.28,9.39,19.61,-15.13
30.00,-0.09,-1.51,-10.21,0.02,0.07,-0.14,9.39,19.61,-15.13
58.00,-0.35,-0.56,-10.33,0.06,0.09,-0.00,9.39,19.61,-15.13
85.00,-0.34,-0.71,-10.28,0.05,0.09,0.04,9.39,19.61,-15.13
113.00,-0.31,-0.55,-10.32,0.11,0.13,-0.01,8.70,21.01,-15.46
140.00,-0.07,-1.23,-10.20,0.19,0.15,-0.10,8.70,21.01,-15.46
168.00,-0.16,-1.13,-10.20,0.30,0.22,0.07,8.70,21.01,-15.46
195.00,-0.27,-0.62,-10.29,0.04,0.09,-0.14,8.70,21.01,-15.46
223.00,-0.22,-0.74,-10.23,-0.03,0.04,-0.29,8.70,21.01,-15.46
251.00,-0.26,-0.85,-10.24,0.08,0.10,-0.31,10.09,19.61,-16.47
278.00,-0.17,-0.91,-10.24,0.15,0.13,-0.31,10.09,19.61,-16.47
306.00,-0.11,-0.90,-10.26,0.18,0.15,-0.31,10.09,19.61,-16.47
333.00,-0.25,-0.90,-10.22,-0.04,0.03,-0.43,10.09,19.61,-16.47
361.00,0.11,-1.62,-10.13,-0.06,0.00,-0.49,10.09,19.61,-16.47
389.00,-0.03,-1.06,-10.28,-0.06,0.01,-0.34,8.87,19.79,-14.96
416.00,-0.24,-0.91,-10.22,-0.06,0.01,-0.29,8.87,19.79,-14.96
444.00,-0.12,-1.02,-10.25,-0.05,0.02,-0.28,8.87,19.79,-14.96
471.00,-0.16,-0.97,-10.24,-0.06,0.03,-0.29,8.87,19.79,-14.96
499.00,-0.23,-0.99,-10.22,-0.06,0.02,-0.29,8.18,20.84,-15.30
527.00,-0.16,-1.02,-10.22,-0.06,0.02,-0.29,8.18,20.84,-15.30
554.00,-0.26,-0.45,-10.33,-0.08,0.01,-0.34,8.18,20.84,-15.30
582.00,-0.20,-0.91,-10.20,-0.14,-0.01,-0.23,8.18,20.84,-15.30
610.00,-0.20,0.05,-10.41,-0.10,0.01,-0.32,8.18,20.84,-15.30
637.00,-0.25,-0.27,-10.49,-0.06,0.02,-0.44,9.39,20.66,-16.14
665.00,0.11,-1.57,-10.23,-0.06,0.01,-0.59,9.39,20.66,-16.14
692.00,-0.00,-0.96,-10.19,-0.07,0.01,-0.50,9.39,20.66,-16.14
720.00,0.62,-2.10,-10.31,-0.02,0.05,-0.34,9.39,20.66,-16.14
748.00,0.64,-1.70,-10.43,-0.06,0.06,0.08,9.39,20.66,-16.14
775.00,-0.57,-0.27,-10.44,-0.08,0.06,0.16,8.70,21.01,-15.46
803.00,-0.45,-1.25,-10.32,0.07,0.09,-0.16,8.70,21.01,-15.46
830.00,-0.70,0.15,-10.56,-0.04,0.04,-0.43,8.70,21.01,-15.46
858.00,0.16,-1.65,-10.52,-0.07,-0.02,-0.88,8.70,21.01,-15.46
886.00,0.11,-1.55,-10.90,-0.05,-0.01,-0.76,8.70,21.01,-15.46
913.00,0.07,-1.01,-9.83,-0.05,0.03,-0.42,8.70,21.01,-15.46
941.00,0.56,-1.05,-10.86,-0.05,0.06,-0.03,8.70,21.01,-15.46
968.00,0.01,-0.61,-11.64,-0.03,0.10,0.45,8.70,21.01,-15.46
