time,ax,ay,az,gx,gy,gz,mx,my,mz
49.00,-0.23,-0.67,-10.28,0.19,0.11,-0.30,7.31,18.21,-16.81
124.00,-0.20,-0.85,-10.29,-0.17,-0.04,-0.28,6.09,19.79,-15.97
199.00,-0.33,-0.71,-10.22,-0.27,-0.06,-0.27,8.70,17.51,-14.46
273.00,-0.34,-0.73,-10.22,-0.06,0.03,-0.29,8.70,17.51,-14.46
348.00,-0.39,-0.66,-10.21,-0.20,-0.02,-0.28,7.65,18.21,-15.80
423.00,-0.34,-0.72,-10.22,-0.03,0.04,-0.29,7.65,18.21,-15.80
497.00,-0.27,-0.86,-10.27,0.07,0.09,-0.30,6.78,19.44,-15.63
572.00,-0.31,-0.79,-10.24,-0.02,0.04,-0.29,6.09,18.04,-15.63
647.00,-0.26,-0.75,-10.28,-0.06,0.03,-0.29,6.09,18.04,-15.63
722.00,-0.22,-0.82,-10.29,-0.01,0.06,-0.29,6.44,19.79,-15.30
796.00,-0.28,-1.28,-10.24,0.03,0.11,-0.28,6.44,19.79,-15.30
871.00,-0.07,-0.81,-10.33,0.01,0.08,-0.11,6.26,19.61,-15.13
946.00,-0.68,-1.33,-9.97,-0.05,0.03,-0.26,7.13,18.39,-14.62
1021.00,-0.15,-1.31,-10.17,-0.15,-0.03,-0.36,7.13,18.39,-14.62
1096.00,-0.09,-1.02,-10.30,-0.05,0.03,-0.27,7.13,18.39,-13.95
1171.00,-0.15,-0.18,-10.41,-0.01,0.03,-0.35,7.13,18.39,-13.95
1246.00,-0.15,-0.83,-10.29,0.04,0.06,-0.37,8.87,19.79,-13.62
1321.00,-0.37,-0.74,-10.88,-0.07,-0.03,-0.68,8.87,19.79,-13.62
1396.00,0.75,-1.48,-10.48,-0.09,-0.10,-1.13,8.70,20.31,-13.78
1471.00,0.44,0.21,-10.81,-0.07,-0.05,-1.01,7.31,22.07,-13.78
1546.00,0.67,-0.05,-11.33,-0.09,-0.05,-1.02,7.31,22.07,-13.78
1621.00,1.54,-2.19,-11.01,-0.07,-0.05,-1.01,5.74,25.04,-15.97
1696.00,1.20,-1.06,-11.95,-0.05,-0.04,-0.71,5.74,25.04,-15.97
1771.00,0.28,-1.37,-10.61,-0.08,0.04,-0.33,6.09,26.44,-14.96
1846.00,0.16,-2.01,-9.90,-0.05,-0.03,-0.45,6.09,27.84,-16.64
1921.00,0.73,-2.04,-10.50,-0.06,0.03,-0.24,6.09,27.84,-16.64
1996.00,-0.92,-0.80,-9.60,-0.03,0.04,0.14,5.39,30.65,-19.67
