time,ax,ay,az,gx,gy,gz,mx,my,mz
210.00,-0.46,-1.31,-10.34,-0.26,0.24,-0.21,12.52,8.41,-9.41
237.00,-0.06,-1.62,-10.09,-0.19,0.19,-0.22,12.52,8.41,-9.41
265.00,-0.63,-0.83,-10.65,-0.07,0.16,-0.28,12.52,8.41,-9.41
292.00,-0.53,-1.19,-10.45,0.00,0.08,-0.35,11.48,7.36,-8.40
320.00,-0.28,-1.46,-10.34,0.01,0.04,-0.31,11.48,7.36,-8.40
347.00,-0.26,-1.30,-10.62,0.03,0.09,-0.20,11.48,7.36,-8.40
374.00,-0.01,-1.46,-10.00,0.07,0.08,-0.21,11.48,7.36,-8.40
402.00,-0.33,-1.17,-10.04,0.08,0.16,-0.21,11.48,7.36,-8.40
429.00,-0.07,-1.47,-10.44,-0.08,0.12,-0.30,11.83,6.30,-8.74
457.00,-0.06,-1.53,-10.40,0.00,0.07,-0.32,11.83,6.30,-8.74
484.00,-0.43,-1.27,-9.72,0.17,0.01,-0.30,11.83,6.30,-8.74
511.00,-0.51,-1.23,-10.11,0.02,0.03,-0.32,11.83,6.30,-8.74
539.00,-0.21,-1.46,-10.36,-0.14,0.01,-0.34,11.31,7.18,-7.56
566.00,-0.01,-1.51,-10.09,-0.16,-0.01,-0.33,11.31,7.18,-7.56
594.00,-0.15,-1.36,-10.26,-0.14,0.03,-0.33,11.31,7.18,-7.56
621.00,-0.13,-1.44,-10.33,-0.12,0.07,-0.35,11.31,7.18,-7.56
649.00,-0.23,-1.32,-10.41,-0.10,-0.00,-0.32,11.31,7.18,-7.56
676.00,-0.23,-1.38,-10.18,-0.10,-0.05,-0.33,10.79,6.65,-8.07
704.00,-0.10,-1.54,-10.42,-0.12,-0.03,-0.34,10.79,6.65,-8.07
731.00,-0.18,-1.44,-10.41,-0.01,-0.01,-0.32,10.79,6.65,-8.07
759.00,-0.24,-1.39,-10.41,0.00,-0.01,-0.31,10.79,6.65,-8.07
786.00,-0.09,-1.36,-10.10,-0.08,-0.06,-0.30,11.83,6.30,-8.07
814.00,-0.11,-1.33,-10.17,-0.08,-0.05,-0.30,11.83,6.30,-8.07
841.00,-0.13,-1.46,-10.08,-0.07,-0.03,-0.32,11.83,6.30,-8.07
869.00,-0.35,-1.35,-10.21,-0.12,-0.03,-0.27,11.83,6.30,-8.07
896.00,-0.35,-1.20,-9.98,-0.13,-0.05,-0.27,11.83,6.30,-8.07
924.00,-0.22,-1.36,-10.00,-0.15,0.01,-0.33,11.31,8.93,-8.24
951.00,-0.25,-1.30,-10.10,-0.13,0.03,-0.32,11.31,8.93,-8.24
978.00,-0.37,-1.27,-10.17,-0.09,0.04,-0.32,11.31,8.93,-8.24
1006.00,-0.35,-1.24,-10.22,-0.11,0.02,-0.33,11.31,8.93,-8.24
1034.00,-0.23,-1.21,-10.13,-0.15,-0.00,-0.33,11.31,8.93,-8.24
1061.00,-0.33,-1.24,-10.12,-0.08,0.01,-0.33,11.65,7.18,-7.90
1089.00,-0.35,-1.13,-10.08,-0.18,0.01,-0.34,11.65,7.18,-7.90
1116.00,-0.31,-1.12,-10.00,-0.37,-0.01,-0.35,11.65,7.18,-7.90
1144.00,-0.31,-1.00,-10.26,-0.61,-0.06,-0.35,11.65,7.18,-7.90
1172.00,-0.32,-0.88,-10.64,-0.65,-0.06,-0.37,12.18,5.95,-8.07
1199.00,-0.26,-0.86,-10.54,-0.71,-0.08,-0.40,12.18,5.95,-8.07
1227.00,-0.27,-0.57,-10.54,-0.74,-0.10,-0.37,12.18,5.95,-8.07
1254.00,-0.50,-0.33,-10.55,-0.71,-0.09,-0.35,12.18,5.95,-8.07
1282.00,-0.58,-0.06,-10.68,-0.82,-0.11,-0.35,12.18,5.95,-8.07
1309.00,-0.38,0.02,-10.53,-1.19,-0.19,-0.36,13.39,5.08,-9.92
1337.00,-0.43,0.34,-10.16,-1.36,-0.21,-0.33,13.39,5.08,-9.92
1364.00,-0.64,0.94,-10.16,-1.27,-0.13,-0.34,13.39,5.08,-9.92
1392.00,-0.69,1.34,-10.34,-1.43,-0.12,-0.34,13.39,5.08,-9.92
1419.00,-0.69,1.50,-10.06,-1.68,-0.17,-0.35,13.39,5.08,-9.92
1447.00,-0.76,2.05,-9.86,-1.63,-0.07,-0.37,13.39,0.53,-9.92
1474.00,-0.69,2.36,-10.10,-1.59,-0.01,-0.37,13.39,0.53,-9.92
1501.00,-0.96,2.98,-9.92,-1.72,-0.03,-0.36,13.39,0.53,-9.92
1529.00,-0.74,3.33,-9.52,-2.15,-0.06,-0.42,13.39,0.53,-9.92
1557.00,-0.77,3.71,-9.51,-2.16,-0.03,-0.41,12.87,-3.85,-13.11
1584.00,-0.95,4.47,-8.85,-2.07,0.04,-0.35,12.87,-3.85,-13.11
1611.00,-0.86,4.97,-8.94,-1.96,0.08,-0.34,12.87,-3.85,-13.11
1639.00,-0.68,5.15,-8.99,-2.00,0.07,-0.35,12.87,-3.85,-13.11
1666.00,-0.78,5.95,-8.30,-2.24,0.07,-0.31,12.87,-3.85,-13.11
1694.00,-0.73,5.97,-8.47,-2.33,0.04,-0.32,13.22,-8.41,-17.15
1721.00,-0.70,6.18,-8.07,-1.90,0.00,-0.31,13.22,-8.41,-17.15
1749.00,-0.84,7.43,-7.08,-2.13,-0.02,-0.27,13.22,-8.41,-17.15
1776.00,-0.89,7.42,-7.18,-2.63,-0.03,-0.34,13.22,-8.41,-17.15
1804.00,-0.99,7.87,-5.96,-2.21,-0.05,-0.28,11.48,-12.26,-22.19
1831.00,-1.10,8.50,-5.76,-2.35,-0.03,-0.23,11.48,-12.26,-22.19
1859.00,-1.12,8.58,-5.11,-2.73,-0.02,-0.32,11.48,-12.26,-22.19
1886.00,-1.13,9.25,-4.15,-2.45,0.10,-0.32,11.48,-12.26,-22.19
1914.00,-1.12,9.68,-4.22,-2.42,0.17,-0.33,11.48,-12.26,-22.19
1941.00,-0.77,9.16,-4.14,-2.60,0.05,-0.40,13.39,-14.19,-30.09
1969.00,-0.77,9.54,-3.09,-2.68,-0.29,-0.31,13.39,-14.19,-30.09
1996.00,-0.83,9.60,-2.76,-2.45,-0.33,-0.27,13.39,-14.19,-30.09
2024.00,-0.94,9.39,-1.23,-3.09,-0.80,0.15,13.39,-14.19,-30.09
2051.00,-0.66,10.25,0.70,-3.18,-0.82,0.17,13.39,-14.19,-30.09
2079.00,-0.65,10.03,-0.01,-2.92,-0.52,0.06,12.18,-14.71,-39.00
2106.00,-0.71,10.25,1.23,-2.27,-0.22,-0.16,12.18,-14.71,-39.00
2134.00,-0.26,9.97,0.81,-2.27,-0.17,-0.33,12.18,-14.71,-39.00
2161.00,-0.45,9.40,1.62,-2.38,-0.36,-0.40,12.18,-14.71,-39.00
2189.00,-1.03,9.30,3.62,-2.59,-0.24,-0.47,11.48,-12.26,-45.39
2216.00,-0.89,8.70,3.71,-2.42,-0.06,-0.43,11.48,-12.26,-45.39
2244.00,-0.40,8.90,3.75,-2.16,-0.01,-0.34,11.48,-12.26,-45.39
2271.00,-0.94,8.57,4.99,-2.30,-0.14,-0.33,11.48,-12.26,-45.39
2299.00,-0.70,8.27,4.96,-2.46,-0.07,-0.32,11.48,-12.26,-45.39
2326.00,-0.66,7.59,5.24,-2.28,-0.01,-0.30,11.65,-6.83,-51.61
2354.00,-0.62,7.17,6.91,-2.31,-0.10,-0.29,11.65,-6.83,-51.61
2381.00,-0.81,6.83,6.34,-2.24,-0.03,-0.26,11.65,-6.83,-51.61
2408.00,-0.33,7.66,6.87,-2.05,0.08,-0.20,11.65,-6.83,-51.61
2436.00,-0.46,7.13,6.91,-2.18,0.05,-0.32,11.65,-6.83,-51.61
2463.00,-0.73,5.18,8.04,-2.65,0.00,-0.32,11.13,-0.35,-57.15
2491.00,-0.62,5.47,8.16,-2.48,0.06,-0.22,11.13,-0.35,-57.15
2518.00,-0.57,5.19,8.47,-2.11,0.10,-0.21,11.13,-0.35,-57.15
2546.00,-0.73,3.64,8.74,-1.82,0.09,-0.12,11.13,-0.35,-57.15
2573.00,-0.50,4.28,8.67,-1.60,0.09,0.02,13.92,7.00,-57.49
2601.00,-0.63,4.96,9.35,-1.29,0.07,0.01,13.92,7.00,-57.49
2628.00,-0.31,3.44,7.87,-1.32,0.01,-0.27,13.92,7.00,-57.49
2656.00,-0.38,4.33,9.38,-1.35,-0.20,-0.35,13.92,7.00,-57.49
2684.00,-0.38,2.43,8.64,-1.34,-0.01,-0.54,13.92,7.00,-57.49
2711.00,-0.42,3.56,10.04,-1.32,-0.05,-0.56,12.70,10.68,-57.99
2739.00,-0.53,1.53,9.23,-1.60,-0.03,-0.72,12.70,10.68,-57.99
2766.00,-0.57,0.98,8.88,-2.19,0.26,-0.77,12.70,10.68,-57.99
2794.00,-0.47,0.89,9.74,-2.04,0.28,-0.77,12.70,10.68,-57.99
2821.00,-0.89,-0.22,8.51,-1.81,0.25,-0.70,12.70,10.68,-57.99
2849.00,-0.73,-0.27,8.85,-1.30,0.18,-0.54,14.09,17.69,-57.66
2877.00,-0.99,-0.57,9.28,-1.03,0.03,-0.44,14.09,17.69,-57.66
2904.00,-0.73,-0.73,9.01,-0.17,0.02,-0.27,14.09,17.69,-57.66
2932.00,-0.64,-0.17,9.45,-0.19,-0.02,-0.25,14.09,17.69,-57.66
2960.00,-0.47,0.06,9.04,-0.26,-0.02,-0.30,13.92,18.91,-55.47
2987.00,-0.70,-0.61,9.69,-0.43,-0.04,-0.36,13.92,18.91,-55.47
3015.00,-0.77,-0.79,9.79,-0.56,0.02,-0.34,13.92,18.91,-55.47
3042.00,-0.77,-0.67,9.63,-0.81,0.07,-0.33,13.92,18.91,-55.47
3070.00,-0.78,-1.19,9.02,-0.82,0.08,-0.33,13.92,18.91,-55.47
3097.00,-0.71,-1.14,9.14,-0.57,0.05,-0.30,14.44,21.19,-57.66
3125.00,-0.70,-1.27,9.27,-0.40,0.04,-0.34,14.44,21.19,-57.66
3152.00,-0.90,-1.36,9.75,-0.53,0.00,-0.35,14.44,21.19,-57.66
3180.00,-0.91,-1.64,9.70,-0.50,0.02,-0.33,14.44,21.19,-57.66
3207.00,-0.69,-1.26,9.24,-0.18,0.04,-0.26,12.35,22.59,-54.63
3235.00,-0.62,-1.14,9.49,-0.03,0.02,-0.30,12.35,22.59,-54.63
3262.00,-0.69,-1.52,9.64,0.06,0.03,-0.33,12.35,22.59,-54.63
3290.00,-0.85,-1.61,9.32,-0.01,0.05,-0.30,12.35,22.59,-54.63
3317.00,-0.76,-1.64,8.94,-0.03,0.04,-0.28,12.35,22.59,-54.63
3345.00,-0.71,-1.41,9.35,-0.03,0.03,-0.28,13.57,22.42,-54.80
3372.00,-0.71,-1.38,9.30,-0.07,0.03,-0.32,13.57,22.42,-54.80
3400.00,-0.74,-1.71,9.12,-0.12,0.01,-0.34,13.57,22.42,-54.80
3427.00,-0.70,-1.64,9.42,-0.11,-0.00,-0.29,13.57,22.42,-54.80
3455.00,-0.66,-1.49,9.29,-0.13,0.02,-0.27,13.57,22.42,-54.80
3482.00,-0.62,-1.35,9.05,-0.18,0.01,-0.30,13.92,21.37,-55.14
3510.00,-0.79,-1.93,9.16,-0.42,-0.03,-0.36,13.92,21.37,-55.14
3537.00,-0.67,-1.81,9.01,-0.52,-0.05,-0.32,13.92,21.37,-55.14
3565.00,-0.83,-2.27,9.21,-0.34,-0.04,-0.30,13.92,21.37,-55.14
3592.00,-0.68,-1.74,9.43,-0.31,-0.04,-0.25,13.57,22.42,-55.14
3620.00,-0.55,-1.83,9.18,-0.26,-0.02,-0.27,13.57,22.42,-55.14
3647.00,-0.64,-2.14,9.17,-0.23,0.04,-0.32,13.57,22.42,-55.14
3675.00,-0.68,-2.10,9.44,-0.18,0.03,-0.28,13.57,22.42,-55.14
3703.00,-0.58,-1.92,9.23,-0.12,0.04,-0.26,13.57,22.42,-55.14
3730.00,-0.75,-2.17,9.40,-0.09,0.02,-0.30,14.09,22.59,-55.30
3757.00,-0.73,-2.20,9.33,-0.10,0.04,-0.30,14.09,22.59,-55.30
3785.00,-0.68,-2.11,8.98,-0.11,0.03,-0.30,14.09,22.59,-55.30
3813.00,-0.78,-2.18,9.29,-0.09,0.01,-0.30,14.09,22.59,-55.30
3840.00,-0.72,-2.16,9.22,-0.04,0.02,-0.29,14.09,22.59,-55.30
3868.00,-0.66,-2.14,9.25,-0.08,0.02,-0.30,12.87,23.47,-54.13
3895.00,-0.65,-2.07,9.15,-0.04,0.03,-0.30,12.87,23.47,-54.13
3923.00,-0.62,-2.02,9.38,0.06,0.07,-0.35,12.87,23.47,-54.13
3951.00,-0.65,-2.23,9.04,0.08,0.08,-0.36,12.87,23.47,-54.13
3978.00,-0.69,-2.40,8.93,0.05,0.01,-0.34,14.26,23.82,-55.47
