time,ax,ay,az,gx,gy,gz,mx,my,mz
49.00,-1.31,-0.71,-10.18,-0.20,0.16,-0.40,0.52,26.44,-15.30
124.00,-1.08,0.04,-10.37,-0.61,0.28,-0.34,1.57,28.19,-15.63
198.00,-1.02,0.22,-10.10,0.13,0.08,-0.33,-0.52,27.84,-15.97
272.00,-0.96,0.11,-10.13,-0.59,0.17,-0.29,-0.52,27.84,-15.97
346.00,-0.84,0.44,-9.75,-0.49,0.23,-0.33,-2.09,26.62,-13.45
420.00,-1.25,1.62,-10.84,-0.82,0.10,-0.08,-2.09,26.62,-13.45
495.00,-1.07,0.42,-9.84,0.00,-0.14,-0.39,-2.44,25.92,-12.78
569.00,-0.52,0.59,-10.20,0.36,0.19,-0.54,-0.70,25.92,-13.11
643.00,-1.20,1.56,-9.16,0.44,0.39,-0.35,-0.70,25.92,-13.11
718.00,-0.67,0.06,-11.82,0.19,0.78,-0.47,-2.26,27.14,-13.62
792.00,0.15,0.16,-9.97,-0.15,0.35,-0.20,-2.26,27.14,-13.62
867.00,0.84,-0.52,-10.93,0.15,0.21,-0.27,-2.96,26.79,-15.97
941.00,-0.09,0.85,-10.52,-0.28,0.16,-0.84,-2.96,26.79,-15.97
1015.00,0.43,1.42,-10.73,-0.39,-0.28,-1.88,-5.57,25.92,-14.46
1089.00,1.14,1.66,-11.22,-0.58,-0.24,-3.48,-8.35,25.57,-14.12
1164.00,0.46,0.78,-10.41,-0.53,-1.23,-4.66,-8.35,25.57,-14.12
1238.00,-0.70,3.21,-9.49,-3.57,-1.51,-3.74,-12.35,18.74,-12.61
1312.00,-1.21,4.36,-10.31,-3.54,0.08,-4.42,-12.35,18.74,-12.61
1387.00,-1.79,2.24,-11.88,0.38,1.94,-4.66,-13.05,0.88,-9.92
1461.00,-2.82,-0.64,-9.69,0.73,0.95,-4.66,-13.05,0.88,-9.92
1535.00,-2.32,2.42,-10.18,-0.71,0.27,-4.66,-12.18,-5.25,-9.75
1609.00,-2.30,-0.04,-9.35,0.23,0.64,-4.28,-6.44,-8.58,-12.27
1684.00,-1.43,-0.81,-11.94,-2.03,2.38,-4.39,-6.44,-8.58,-12.27
1758.00,-0.49,-1.29,-10.91,-0.59,0.67,-3.86,-2.44,-8.41,-13.11
1832.00,-1.02,1.84,-10.19,-1.27,0.01,-3.89,-2.44,-8.41,-13.11
1907.00,1.51,-3.44,-11.67,-1.29,0.76,-4.66,5.57,-6.65,-15.46
1981.00,0.70,2.46,-11.43,-0.63,1.52,-3.89,13.22,-3.85,-14.79
2056.00,0.44,2.69,-10.23,-2.04,0.98,-3.10,13.22,-3.85,-14.79
2130.00,-0.02,4.85,-9.49,-0.21,0.42,-3.01,14.26,-1.05,-13.45
2204.00,0.33,3.47,-9.90,0.60,0.65,-3.61,14.26,-1.05,-13.45
2279.00,1.50,3.00,-10.33,1.03,-0.25,-4.48,15.31,7.71,-11.43
2353.00,-0.35,0.31,-8.08,2.11,-0.25,-4.45,14.96,21.01,-12.44
2427.00,-0.36,-0.68,-8.70,0.33,-0.08,-4.18,14.96,21.01,-12.44
2501.00,-1.08,-1.24,-10.82,0.98,0.12,-2.83,7.48,29.25,-20.00
2576.00,0.93,-2.30,-10.25,-0.29,-0.58,-3.20,7.48,29.25,-20.00
2650.00,0.13,-1.93,-11.48,-1.52,0.10,-2.85,3.48,31.17,-22.52
2725.00,-0.20,-1.01,-11.20,-0.87,0.00,-1.27,-3.13,26.62,-19.50
2799.00,-0.48,-0.23,-10.14,-0.28,-0.07,-0.60,-3.13,26.62,-19.50
2874.00,-0.51,-0.05,-10.43,-0.16,-0.01,-0.35,-3.83,27.67,-16.47
2948.00,-0.39,-0.36,-9.75,0.12,-0.04,-0.13,-3.83,27.67,-16.47
3022.00,-0.29,-0.37,-10.05,0.18,0.05,0.09,-2.44,28.02,-17.48
3096.00,-0.19,-0.50,-9.83,0.19,-0.19,0.07,-2.44,28.02,-17.48
3171.00,0.04,-0.90,-9.90,0.30,-0.09,0.72,-2.09,27.67,-17.82
3245.00,-0.30,-0.66,-9.98,0.29,0.16,1.31,0.70,30.12,-19.50
3320.00,-0.65,-1.12,-9.75,0.01,0.12,1.53,0.70,30.12,-19.50
3394.00,-0.16,-0.80,-10.59,-0.88,-0.06,2.13,4.17,27.67,-17.15
3468.00,1.54,-0.69,-11.16,-0.46,0.35,3.59,4.17,27.67,-17.15
3543.00,-0.83,1.46,-9.68,-0.21,-1.18,3.88,9.74,24.17,-17.82
3617.00,-0.18,-0.29,-10.42,0.57,-1.11,4.07,9.74,24.17,-17.82
3692.00,-0.76,1.84,-9.31,0.26,-0.26,4.07,17.74,15.41,-17.82
3766.00,0.16,2.96,-10.05,0.57,-0.66,4.07,18.09,2.45,-17.82
3841.00,-0.26,2.22,-10.04,0.78,-0.90,4.07,18.09,2.45,-17.82
3916.00,-0.93,3.69,-11.01,-0.14,-1.17,4.07,11.83,-8.76,-21.18
3990.00,0.12,3.56,-10.54,0.51,-0.23,3.89,11.83,-8.76,-21.18
4065.00,-0.94,2.28,-10.31,0.62,0.03,3.00,2.61,-15.94,-22.02
4139.00,0.69,2.42,-10.73,1.43,0.14,3.04,-8.00,-14.36,-21.18
4213.00,0.46,1.22,-10.00,0.94,0.86,3.46,-8.00,-14.36,-21.18
4288.00,3.20,1.26,-10.65,-0.20,0.64,2.94,-17.57,-7.88,-21.68
4362.00,2.38,0.02,-10.62,0.41,-0.77,4.07,-17.57,-7.88,-21.68
4437.00,-0.17,1.23,-8.84,-0.02,-0.75,4.07,-20.35,-0.53,-21.35
4511.00,0.29,1.99,-10.37,-1.78,0.09,4.07,-20.00,11.38,-17.31
4586.00,0.20,1.67,-9.83,1.04,-0.21,3.52,-20.00,11.38,-17.31
4660.00,0.46,0.71,-10.06,0.77,0.04,2.24,-17.22,21.54,-16.98
4735.00,-0.80,-0.53,-11.55,0.17,-0.62,2.74,-17.22,21.54,-16.98
4809.00,-0.15,-1.13,-10.08,1.09,-0.69,3.33,-8.52,27.49,-17.31
4883.00,-0.72,-2.18,-9.77,-0.54,-0.78,3.36,3.83,31.52,-17.82
4958.00,-1.80,0.90,-10.13,-0.80,-0.26,3.74,3.83,31.52,-17.82
5032.00,-1.80,-0.37,-11.33,-0.99,-0.88,2.55,11.83,27.32,-18.15
5107.00,-3.20,1.12,-8.91,-0.92,-1.69,1.75,11.83,27.32,-18.15
5181.00,-4.41,2.48,-7.37,0.07,-1.14,2.02,17.40,20.31,-17.15
5256.00,-4.32,1.22,-9.43,1.82,-0.91,2.38,17.40,20.31,-17.15
5330.00,-3.80,1.10,-9.09,3.74,-1.16,2.99,22.44,15.59,-20.34
5405.00,-4.04,0.88,-9.09,1.96,0.73,3.54,23.31,7.71,-24.54
5479.00,-2.36,1.19,-10.36,0.09,1.09,3.59,23.31,7.71,-24.54
5554.00,-2.79,2.26,-9.42,1.08,0.51,2.54,18.79,-1.75,-21.85
5628.00,-2.40,2.58,-9.35,0.63,1.12,1.33,18.79,-1.75,-21.85
5703.00,-1.19,1.26,-9.95,0.68,0.78,1.19,12.18,-7.71,-18.15
5777.00,-0.58,1.06,-10.69,0.53,0.60,1.42,12.18,-7.71,-18.15
5852.00,-0.68,1.92,-9.85,0.27,0.93,0.54,6.96,-7.71,-16.14
5927.00,0.45,1.13,-11.34,0.01,0.40,0.23,4.00,-9.98,-13.28
6001.00,0.79,-0.32,-11.17,0.50,-0.09,0.22,4.00,-9.98,-13.28
6076.00,0.08,0.27,-10.52,0.40,-0.21,0.47,2.61,-10.33,-13.62
6150.00,-0.34,0.29,-10.01,0.05,-0.05,0.28,2.61,-10.33,-13.62
6225.00,0.34,-0.24,-10.70,0.04,-0.01,0.14,2.61,-9.98,-12.61
6300.00,0.12,1.05,-10.59,0.10,-0.18,0.28,2.26,-9.28,-12.94
6375.00,-0.25,1.64,-11.06,-0.25,-0.12,0.36,2.26,-9.28,-12.94
6450.00,-0.97,2.11,-7.59,0.20,0.30,0.01,0.00,-9.81,-14.79
6525.00,-0.28,-0.29,-10.25,-0.41,-0.34,-0.70,0.00,-9.81,-14.79
6599.00,-0.31,-0.49,-10.57,0.00,-0.18,-0.05,1.22,-10.68,-13.95
6674.00,-0.48,-0.09,-10.04,-0.28,0.13,-0.26,1.22,-10.68,-13.95
6748.00,-0.18,-0.06,-10.25,0.02,0.30,-0.16,1.04,-10.16,-15.13
6823.00,-0.12,0.06,-10.59,-0.13,0.17,-0.26,0.17,-10.33,-14.29
6898.00,0.09,-0.27,-10.13,-0.07,0.05,-0.19,0.17,-10.33,-14.29
6972.00,0.17,-0.07,-10.20,-0.07,-0.02,-0.29,0.17,-12.08,-14.62
7047.00,-0.04,0.10,-10.69,-0.21,-0.09,-0.29,0.17,-12.08,-14.62
7122.00,0.03,-0.08,-10.74,0.08,-0.31,-0.19,0.17,-11.03,-14.62
7196.00,-0.25,-0.05,-10.33,0.04,-0.05,-0.28,0.00,-11.21,-13.78
7271.00,-0.45,0.27,-9.87,-0.34,0.19,-0.63,0.00,-11.21,-13.78
7345.00,-0.40,0.22,-10.64,0.13,0.06,-0.10,1.57,-11.38,-14.29
7420.00,0.24,-0.23,-10.57,0.06,-0.09,-0.04,1.57,-11.38,-14.29
7495.00,-0.65,0.52,-9.48,-0.22,-0.06,-0.47,1.39,-10.51,-14.79
7569.00,-0.58,0.11,-10.00,0.16,0.25,-0.33,-0.17,-12.43,-15.30
7644.00,0.20,-0.19,-10.26,-0.13,-0.15,-0.03,-0.17,-12.43,-15.30
7719.00,-0.06,-0.14,-10.63,-0.12,-0.02,-0.29,-0.52,-11.73,-14.62
7794.00,-0.25,0.39,-10.11,-0.35,0.51,-1.04,-0.52,-11.73,-14.62
7868.00,0.31,-0.63,-10.18,0.22,-0.22,0.38,-0.17,-9.98,-13.28
7943.00,-0.08,-0.09,-10.50,-0.12,-0.04,-0.15,2.26,-10.33,-13.95
8018.00,-0.11,-0.07,-10.39,-0.02,-0.11,-0.13,2.26,-10.33,-13.95
8092.00,0.12,-0.26,-10.44,-0.06,0.18,-0.42,-0.70,-11.21,-14.46
8167.00,-0.23,0.22,-10.38,-0.31,0.38,-0.86,-0.70,-11.21,-14.46
8241.00,0.56,0.38,-10.11,0.14,0.42,-0.17,-1.22,-12.43,-13.95
8316.00,0.34,-0.54,-9.72,0.25,-0.09,-0.01,-1.22,-12.43,-13.95
8391.00,0.48,-0.44,-10.45,0.01,-0.09,0.26,-1.39,-9.81,-12.78
8465.00,0.35,-0.48,-9.97,0.08,0.23,-0.14,-1.22,-11.03,-12.94
8540.00,0.60,-0.51,-10.86,0.02,0.09,-0.29,-1.22,-11.03,-12.94
8615.00,0.29,-0.23,-10.64,-0.30,-0.39,-0.48,-2.96,-12.08,-12.27
8689.00,-0.26,-0.57,-10.48,0.15,-0.79,0.24,-2.96,-12.08,-12.27
8764.00,-0.13,-0.64,-10.60,-0.10,0.03,-0.19,-1.22,-10.33,-12.94
8838.00,-0.46,-0.12,-10.09,-0.41,0.30,-0.42,-1.22,-10.33,-12.94
8913.00,-0.42,-0.17,-9.92,0.05,0.15,-0.48,-0.87,-9.63,-13.62
8988.00,0.01,-0.58,-10.47,-0.12,-0.54,0.27,-0.87,-10.68,-13.95
