time,ax,ay,az,gx,gy,gz,mx,my,mz
211.00,-0.57,6.49,-7.65,-0.14,-0.03,0.02,2.58,-24.02,-56.06
214.00,-0.57,6.49,-7.65,-0.14,-0.03,0.02,2.58,-24.02,-56.06
217.00,-0.57,6.49,-7.65,-0.14,-0.03,0.02,2.58,-24.02,-56.06
221.00,-0.57,6.49,-7.65,-0.14,-0.03,0.02,2.58,-24.02,-56.06
225.00,-0.57,6.49,-7.65,-0.14,-0.03,0.02,2.58,-24.02,-56.06
228.00,-0.57,6.49,-7.65,-0.14,-0.03,0.02,2.58,-24.02,-56.06
231.00,-0.57,6.48,-7.62,-0.14,-0.03,0.02,2.58,-24.02,-56.06
234.00,-0.57,6.48,-7.62,-0.14,-0.03,0.02,2.58,-24.02,-56.06
238.00,-0.57,6.48,-7.62,-0.14,-0.03,0.02,2.58,-24.02,-56.06
241.00,-0.57,6.48,-7.62,-0.14,-0.03,0.02,2.58,-24.02,-56.06
244.00,-0.57,6.48,-7.62,-0.14,-0.03,0.02,2.58,-24.02,-56.06
248.00,-0.57,6.48,-7.62,-0.14,-0.03,0.02,2.58,-24.02,-56.06
251.00,-0.56,6.49,-7.65,-0.14,-0.03,0.02,2.58,-24.02,-56.06
254.00,-0.56,6.49,-7.65,-0.14,-0.03,0.02,2.58,-24.02,-56.06
258.00,-0.56,6.49,-7.65,-0.14,-0.03,0.02,2.58,-24.02,-56.06
261.00,-0.56,6.49,-7.65,-0.14,-0.03,0.02,2.58,-24.02,-56.06
265.00,-0.56,6.49,-7.65,-0.14,-0.03,0.02,2.58,-24.02,-56.06
268.00,-0.56,6.49,-7.65,-0.14,-0.03,0.02,2.58,-24.02,-56.06
271.00,-0.56,6.50,-7.62,-0.14,-0.03,0.02,2.58,-24.02,-56.06
274.00,-0.56,6.50,-7.62,-0.14,-0.03,0.02,2.58,-24.02,-56.06
278.00,-0.56,6.50,-7.62,-0.14,-0.03,0.02,2.58,-24.02,-56.06
281.00,-0.56,6.50,-7.62,-0.14,-0.03,0.02,2.58,-24.02,-56.06
286.00,-0.56,6.50,-7.62,-0.14,-0.03,0.02,2.58,-24.02,-56.06
289.00,-0.56,6.50,-7.62,-0.14,-0.03,0.02,2.58,-24.02,-56.06
292.00,-0.57,6.50,-7.62,-0.14,-0.03,0.02,2.58,-24.02,-56.06
