time,ax,ay,az,gx,gy,gz,mx,my,mz
51.00,-0.57,6.56,-7.57,-0.14,-0.03,0.02,2.24,-26.09,-57.05
103.00,-0.57,6.58,-7.58,-0.14,-0.03,0.02,4.82,-25.57,-57.22
154.00,-0.56,6.58,-7.59,-0.14,-0.03,0.02,4.82,-25.57,-57.22
207.00,-0.57,6.56,-7.59,-0.14,-0.03,0.02,3.79,-26.26,-57.22
257.00,-0.56,6.56,-7.59,-0.14,-0.03,0.02,3.79,-26.26,-57.22
308.00,-0.57,6.56,-7.59,-0.14,-0.03,0.02,3.79,-26.26,-57.22
361.00,-0.56,6.55,-7.59,-0.14,-0.03,0.02,4.99,-25.74,-57.05
412.00,-0.56,6.56,-7.58,-0.14,-0.03,0.02,4.99,-25.74,-57.05
462.00,-0.57,6.56,-7.60,-0.14,-0.03,0.02,3.62,-24.71,-58.38
514.00,-0.56,6.56,-7.59,-0.14,-0.03,0.02,3.62,-24.71,-58.38
565.00,-0.57,6.55,-7.59,-0.14,-0.03,0.02,3.62,-24.71,-58.38
616.00,-0.57,6.58,-7.56,-0.14,-0.03,0.02,2.41,-26.26,-58.22
668.00,-0.56,6.56,-7.59,-0.14,-0.03,0.02,2.41,-26.26,-58.22
719.00,-0.58,6.58,-7.60,-0.14,-0.03,0.02,2.93,-25.40,-57.72
770.00,-1.37,8.53,-11.28,0.59,-0.15,0.22,2.93,-25.40,-57.72
822.00,-0.16,4.37,-9.69,2.29,0.50,-0.63,4.48,-19.35,-49.57
873.00,-1.89,6.49,-5.47,0.27,0.26,-1.07,4.48,-19.35,-49.57
923.00,-0.51,10.36,-17.04,-7.20,-0.80,-1.49,4.48,-19.35,-49.57
976.00,0.48,8.09,-5.33,-7.23,0.11,0.04,9.30,-25.23,-60.55
1027.00,0.00,8.77,-5.39,-0.34,-0.13,0.07,9.30,-25.23,-60.55
1077.00,1.72,10.22,-8.94,1.52,-3.32,1.00,6.72,-34.04,-80.01
1130.00,1.77,9.52,14.38,6.28,-5.06,3.52,6.72,-34.04,-80.01
1181.00,1.85,-9.38,-5.65,10.18,0.63,1.70,6.72,-34.04,-80.01
1231.00,0.39,8.87,-9.04,-1.85,0.06,-2.08,0.86,-19.87,-48.74
1284.00,0.42,2.55,-9.77,2.27,0.99,0.46,0.86,-19.87,-48.74
1335.00,0.88,2.90,-9.58,1.70,1.05,0.35,0.86,-19.87,-48.74
1385.00,-1.11,3.66,-10.58,1.80,0.91,0.09,1.55,-13.65,-43.75
1438.00,-0.50,-0.96,-7.92,1.77,1.31,0.59,1.55,-13.65,-43.75
1489.00,-1.19,0.55,-11.55,1.39,1.07,0.28,-2.41,-4.49,-40.92
1540.00,-1.81,-3.29,-6.96,0.73,0.94,0.24,-2.41,-4.49,-40.92
