time,ax,ay,az,gx,gy,gz,mx,my,mz
222.00,-0.71,6.23,-7.99,-0.01,0.02,0.02,1.00,-18.00,-44.00
233.00,-0.71,6.23,-7.99,-0.01,0.02,0.02,1.00,-18.00,-44.00
245.00,-0.70,6.22,-7.99,-0.01,0.02,0.02,1.00,-18.00,-44.00
257.00,-0.72,6.23,-7.97,-0.01,0.02,0.02,1.00,-18.00,-44.00
270.00,-0.72,6.23,-7.97,-0.01,0.02,0.02,1.00,-18.00,-44.00
281.00,-0.72,6.23,-7.98,-0.01,0.02,0.02,1.00,-18.00,-44.00
293.00,-0.72,6.23,-7.98,-0.01,0.02,0.02,1.00,-18.00,-44.00
305.00,-0.70,6.22,-7.98,-0.01,0.02,0.02,1.00,-18.00,-44.00
318.00,-0.70,6.23,-7.97,-0.01,0.02,0.02,1.00,-18.00,-44.00
329.00,-0.70,6.23,-7.97,-0.01,0.02,0.02,1.00,-18.00,-44.00
341.00,-0.70,6.23,-7.99,-0.01,0.02,0.02,1.00,-18.00,-44.00
353.00,-0.70,6.23,-7.99,-0.01,0.02,0.02,1.00,-18.00,-44.00
365.00,-0.70,6.22,-7.97,-0.01,0.02,0.02,1.00,-18.00,-44.00
378.00,-0.69,6.23,-7.96,-0.01,0.02,0.02,1.00,-18.00,-44.00
389.00,-0.69,6.23,-7.96,-0.01,0.02,0.02,1.00,-18.00,-44.00
401.00,-0.70,6.24,-7.98,-0.01,0.02,0.02,1.00,-18.00,-44.00
413.00,-0.70,6.24,-7.98,-0.01,0.02,0.02,1.00,-18.00,-44.00
426.00,-0.70,6.23,-7.97,-0.01,0.02,0.02,1.00,-18.00,-44.00
438.00,-0.69,6.23,-7.98,-0.01,0.02,0.02,1.00,-18.00,-44.00
450.00,-0.69,6.23,-7.98,-0.01,0.02,0.02,1.00,-18.00,-44.00
461.00,-0.71,6.23,-7.99,-0.01,0.02,0.02,3.00,-20.00,-44.00
474.00,-0.70,6.22,-7.98,-0.01,0.02,0.02,3.00,-20.00,-44.00
485.00,-0.70,6.22,-7.98,-0.01,0.02,0.02,3.00,-20.00,-44.00
497.00,-0.70,6.21,-7.98,-0.01,0.02,0.02,3.00,-20.00,-44.00
509.00,-0.70,6.21,-7.98,-0.01,0.02,0.02,3.00,-20.00,-44.00
