time,ax,ay,az,gx,gy,gz,mx,my,mz
228.00,-0.61,6.23,-7.98,-0.00,0.01,0.00,5.00,-50.00,21.00
239.00,-0.59,6.23,-7.98,0.00,0.01,0.01,5.00,-50.00,21.00
251.00,-0.61,6.24,-8.02,-0.00,0.01,0.00,5.00,-47.00,17.00
263.00,-0.61,6.24,-8.02,-0.00,0.01,0.00,5.00,-47.00,17.00
276.00,-0.60,6.23,-7.99,-0.00,0.01,0.00,5.00,-47.00,17.00
288.00,-0.60,6.23,-7.99,-0.00,0.01,0.00,5.00,-47.00,17.00
299.00,-0.65,6.40,-7.87,-0.01,0.00,-0.00,5.00,-47.00,17.00
310.00,-0.65,6.40,-7.87,-0.01,0.00,-0.00,5.00,-47.00,17.00
322.00,-0.95,6.54,-7.75,-0.04,0.02,-0.03,5.00,-47.00,17.00
335.00,-0.54,6.23,-8.02,-0.06,0.10,-0.12,5.00,-47.00,17.00
347.00,-0.54,6.23,-8.02,-0.06,0.10,-0.12,5.00,-47.00,17.00
359.00,-1.07,6.31,-7.90,-0.10,0.08,-0.12,5.00,-47.00,17.00
370.00,-1.07,6.31,-7.90,-0.10,0.08,-0.12,5.00,-47.00,17.00
383.00,-0.46,6.27,-7.99,-0.14,0.10,-0.14,3.00,-50.00,26.00
394.00,-0.31,6.31,-7.93,-0.05,0.12,-0.09,3.00,-50.00,26.00
405.00,-0.31,6.31,-7.93,-0.05,0.12,-0.09,3.00,-50.00,26.00
417.00,-0.51,6.24,-7.99,-0.00,0.09,-0.04,3.00,-50.00,26.00
430.00,-0.51,6.24,-7.99,-0.00,0.09,-0.04,3.00,-50.00,26.00
441.00,-0.14,6.29,-8.06,0.02,0.08,0.05,3.00,-50.00,26.00
452.00,-0.50,6.26,-7.99,-0.14,-0.06,0.06,3.00,-50.00,26.00
464.00,-0.50,6.26,-7.99,-0.14,-0.06,0.06,3.00,-50.00,26.00
477.00,-0.58,6.32,-7.93,-0.08,-0.09,0.10,3.00,-50.00,26.00
489.00,-0.58,6.32,-7.93,-0.08,-0.09,0.10,3.00,-50.00,26.00
504.00,-0.54,6.42,-7.90,-0.04,-0.09,0.12,3.00,-53.00,30.00
515.00,-1.03,6.24,-7.90,-0.02,-0.07,0.17,3.00,-53.00,30.00
527.00,-1.03,6.24,-7.90,-0.02,-0.07,0.17,3.00,-53.00,30.00
540.00,-0.32,6.40,-8.00,0.22,0.15,0.21,3.00,-53.00,30.00
551.00,-0.66,6.12,-8.18,-0.05,0.02,-0.00,3.00,-53.00,30.00
563.00,-0.66,6.12,-8.18,-0.05,0.02,-0.00,3.00,-53.00,30.00
575.00,-0.81,6.15,-7.58,-0.34,-0.23,-0.20,3.00,-53.00,30.00
588.00,-0.81,6.15,-7.58,-0.34,-0.23,-0.20,3.00,-53.00,30.00
599.00,-0.56,6.17,-8.06,-0.02,-0.04,-0.02,3.00,-53.00,30.00
611.00,-0.59,6.39,-7.89,-0.02,-0.00,-0.01,3.00,-53.00,30.00
623.00,-0.59,6.39,-7.89,-0.02,-0.00,-0.01,3.00,-53.00,30.00
636.00,-0.62,6.39,-7.89,0.00,0.01,0.00,5.00,-56.00,26.00
648.00,-0.62,6.39,-7.89,0.00,0.01,0.00,5.00,-56.00,26.00
