time,ax,ay,az,gx,gy,gz,mx,my,mz
2.00,-0.49,6.03,-7.85,-0.03,-0.04,-0.01,11.57,-0.31,-14.94
14.00,-0.50,6.11,-7.96,-0.03,-0.04,-0.01,10.12,-0.48,-17.28
25.00,-0.50,6.11,-7.96,-0.03,-0.04,-0.01,10.12,-0.48,-17.28
85.00,-0.47,6.10,-7.89,-0.03,-0.04,-0.01,10.12,-0.48,-17.28
97.00,-0.50,6.14,-7.85,-0.03,-0.04,-0.01,10.12,-0.48,-17.28
108.00,-0.50,6.14,-7.85,-0.03,-0.04,-0.01,10.12,-0.48,-17.28
120.00,-0.50,6.13,-7.88,-0.02,-0.04,-0.01,10.12,-0.48,-17.28
133.00,-0.48,6.06,-7.90,-0.02,-0.04,-0.01,10.12,-0.48,-17.28
145.00,-0.48,6.06,-7.90,-0.02,-0.04,-0.01,10.12,-0.48,-17.28
157.00,-0.46,5.98,-7.95,-0.02,-0.04,-0.01,10.74,1.73,-15.25
169.00,-0.50,6.02,-7.90,-0.03,-0.04,-0.01,10.74,1.73,-15.25
181.00,-0.50,6.02,-7.90,-0.03,-0.04,-0.01,10.74,1.73,-15.25
194.00,-0.49,6.09,-7.88,-0.03,-0.04,-0.01,10.74,1.73,-15.25
205.00,-0.49,6.09,-7.88,-0.03,-0.04,-0.01,10.74,1.73,-15.25
217.00,-0.45,6.09,-7.90,-0.03,-0.04,-0.01,10.74,1.73,-15.25
229.00,-0.55,5.92,-7.99,-0.02,-0.04,-0.01,10.74,1.73,-15.25
242.00,-0.55,5.92,-7.99,-0.02,-0.04,-0.01,10.74,1.73,-15.25
252.00,-0.51,6.18,-7.89,-0.07,-0.03,-0.02,10.74,1.73,-15.25
264.00,-0.51,6.18,-7.89,-0.07,-0.03,-0.02,10.74,1.73,-15.25
276.00,-0.49,6.07,-7.91,-0.03,-0.04,-0.01,12.60,0.88,-16.03
289.00,-0.45,6.08,-7.85,-0.02,-0.04,-0.01,12.60,0.88,-16.03
300.00,-0.45,6.08,-7.85,-0.02,-0.04,-0.01,12.60,0.88,-16.03
312.00,-0.50,6.11,-7.87,-0.02,-0.04,-0.01,12.60,0.88,-16.03
324.00,-0.50,6.11,-7.87,-0.02,-0.04,-0.01,12.60,0.88,-16.03
337.00,-0.50,6.03,-7.86,-0.01,-0.04,-0.01,12.60,0.88,-16.03
349.00,-0.49,6.02,-7.91,-0.02,-0.04,-0.01,12.60,0.88,-16.03
361.00,-0.49,6.02,-7.91,-0.02,-0.04,-0.01,12.60,0.88,-16.03
372.00,-0.47,6.05,-7.92,-0.02,-0.04,-0.01,12.60,0.88,-16.03
385.00,-0.47,6.05,-7.92,-0.02,-0.04,-0.01,12.60,0.88,-16.03
397.00,-0.49,6.12,-7.89,-0.03,-0.04,-0.01,11.78,0.54,-15.40
408.00,-0.49,6.12,-7.89,-0.03,-0.04,-0.01,11.78,0.54,-15.40
419.00,-0.45,5.74,-7.74,-0.04,-0.04,-0.01,11.78,0.54,-15.40
430.00,-0.53,6.03,-7.89,-0.14,-0.05,-0.01,11.78,0.54,-15.40
443.00,-0.53,6.03,-7.89,-0.14,-0.05,-0.01,11.78,0.54,-15.40
455.00,-0.75,6.24,-7.84,0.03,0.12,-0.21,11.78,0.54,-15.40
466.00,-0.75,6.24,-7.84,0.03,0.12,-0.21,11.78,0.54,-15.40
478.00,-0.01,5.99,-8.10,0.03,0.21,-0.32,11.78,0.54,-15.40
491.00,-0.46,6.17,-7.96,-0.00,-0.00,-0.05,11.78,0.54,-15.40
502.00,-0.46,6.17,-7.96,-0.00,-0.00,-0.05,11.78,0.54,-15.40
514.00,-0.51,6.06,-7.89,-0.00,-0.04,-0.01,11.36,-0.48,-15.40
526.00,-0.51,6.06,-7.89,-0.00,-0.04,-0.01,11.36,-0.48,-15.40
