time,ax,ay,az,gx,gy,gz,mx,my,mz
1.00,-0.48,6.11,-7.85,-0.03,-0.04,-0.01,10.74,0.37,-14.00
13.00,-0.48,6.10,-7.84,-0.03,-0.04,-0.01,10.74,0.37,-14.00
25.00,-0.48,6.10,-7.84,-0.03,-0.04,-0.01,10.74,0.37,-14.00
87.00,-0.46,6.12,-7.85,-0.03,-0.04,-0.01,12.40,0.71,-14.62
98.00,-0.49,6.14,-7.81,-0.03,-0.04,-0.01,12.40,0.71,-14.62
108.00,-0.51,6.14,-7.83,-0.02,-0.04,-0.01,12.40,0.71,-14.62
120.00,-0.51,6.14,-7.83,-0.02,-0.04,-0.01,12.40,0.71,-14.62
132.00,-0.47,6.12,-7.84,-0.02,-0.04,-0.01,12.40,0.71,-14.62
145.00,-0.47,6.12,-7.84,-0.02,-0.04,-0.01,12.40,0.71,-14.62
156.00,-0.46,6.09,-7.86,-0.02,-0.04,-0.01,12.40,0.71,-14.62
167.00,-0.46,6.09,-7.86,-0.02,-0.04,-0.01,12.40,0.71,-14.62
179.00,-0.50,6.10,-7.86,-0.03,-0.04,-0.01,11.36,0.20,-14.47
192.00,-0.51,6.13,-7.86,-0.03,-0.04,-0.01,11.36,0.20,-14.47
204.00,-0.51,6.13,-7.86,-0.03,-0.04,-0.01,11.36,0.20,-14.47
216.00,-0.47,6.13,-7.83,-0.03,-0.04,-0.01,11.36,0.20,-14.47
227.00,-0.47,6.13,-7.83,-0.03,-0.04,-0.01,11.36,0.20,-14.47
240.00,-0.46,6.12,-7.84,-0.03,-0.04,-0.01,11.36,0.20,-14.47
251.00,-0.49,6.13,-7.83,-0.02,-0.04,-0.01,11.36,0.20,-14.47
263.00,-0.49,6.13,-7.83,-0.02,-0.04,-0.01,11.36,0.20,-14.47
275.00,-0.49,6.08,-7.86,-0.02,-0.04,-0.01,11.36,0.20,-14.47
288.00,-0.48,6.11,-7.86,-0.02,-0.04,-0.01,11.57,0.37,-14.47
300.00,-0.48,6.11,-7.86,-0.02,-0.04,-0.01,11.57,0.37,-13.69
312.00,-0.48,6.13,-7.83,-0.02,-0.04,-0.01,11.57,0.37,-13.69
323.00,-0.48,6.13,-7.83,-0.02,-0.04,-0.01,11.57,0.37,-13.69
336.00,-0.49,6.12,-7.84,-0.02,-0.04,-0.00,11.57,0.37,-13.69
348.00,-0.50,6.09,-7.85,-0.02,-0.04,-0.01,11.57,0.37,-13.69
360.00,-0.50,6.09,-7.85,-0.02,-0.04,-0.01,11.57,0.37,-13.69
372.00,-0.50,6.09,-7.85,-0.02,-0.03,-0.00,11.57,0.37,-13.69
377.00,-0.50,6.09,-7.85,-0.02,-0.03,-0.00,11.57,0.37,-13.69
454.00,-0.50,6.13,-7.85,-0.02,-0.04,-0.01,13.02,-0.14,-13.84
533.00,0.34,5.47,-8.70,0.02,-0.31,0.35,13.02,-0.14,-13.84
611.00,-3.68,15.48,-11.44,2.70,0.38,-0.04,11.16,0.71,-14.62
691.00,0.24,-2.85,-9.93,6.45,-4.85,-1.53,9.71,-19.87,-13.22
780.00,-3.27,2.29,-3.34,-4.64,-7.97,-3.62,9.71,-19.87,-13.22
792.00,-4.91,-0.51,2.32,-5.29,-6.76,-5.28,-13.22,-18.34,-10.56
804.00,-4.91,-0.51,2.32,-5.29,-6.76,-5.28,-13.22,-18.34,-10.56
816.00,-4.64,-1.35,3.29,-6.64,-4.13,-6.29,-13.22,-18.34,-10.56
829.00,-3.73,-0.98,3.23,-4.06,-0.60,-6.30,-13.22,-18.34,-10.56
840.00,-3.73,-0.98,3.23,-4.06,-0.60,-6.30,-13.22,-18.34,-10.56
852.00,-3.17,-21.24,-14.32,2.50,2.47,-5.64,-13.22,-18.34,-10.56
862.00,-3.17,-21.24,-14.32,2.50,2.47,-5.64,-13.22,-18.34,-10.56
876.00,-3.28,-8.94,-5.17,-0.23,0.50,-1.70,-13.22,-18.34,-10.56
888.00,-3.28,-8.94,-5.17,-0.23,0.50,-1.70,-13.22,-18.34,-10.56
