time,ax,ay,az,gx,gy,gz,mx,my,mz
21.00,-0.48,5.94,-7.98,-0.02,-0.04,-0.01,12.81,-0.31,-19.63
32.00,-0.49,5.95,-7.98,-0.02,-0.04,-0.01,12.81,-0.31,-19.63
43.00,-0.49,5.95,-7.98,-0.02,-0.04,-0.01,12.81,-0.31,-19.63
108.00,-0.49,5.94,-7.97,-0.03,-0.04,-0.01,10.95,-1.85,-20.09
119.00,-0.49,5.94,-7.97,-0.03,-0.04,-0.01,10.95,-1.85,-20.09
130.00,-0.49,5.96,-7.99,-0.02,-0.04,-0.01,10.95,-1.85,-20.09
141.00,-0.49,5.96,-7.99,-0.02,-0.04,-0.01,10.95,-1.85,-20.09
155.00,-0.49,5.95,-7.99,-0.02,-0.04,-0.01,10.95,-1.85,-20.09
167.00,-0.49,5.95,-7.99,-0.02,-0.04,-0.01,10.95,-1.85,-20.09
178.00,-0.49,5.94,-7.99,-0.02,-0.04,-0.01,10.12,-2.19,-19.47
190.00,-0.49,5.93,-7.98,-0.03,-0.04,-0.01,10.12,-2.19,-19.47
202.00,-0.49,5.93,-7.98,-0.03,-0.04,-0.01,10.12,-2.19,-19.47
215.00,-0.49,5.97,-7.97,-0.03,-0.04,-0.01,10.12,-2.19,-19.47
227.00,-0.49,5.97,-7.97,-0.03,-0.04,-0.01,10.12,-2.19,-19.47
239.00,-0.48,5.94,-7.94,-0.02,-0.04,-0.01,10.12,-2.19,-19.47
251.00,-0.49,5.94,-7.98,-0.02,-0.04,-0.01,10.12,-2.19,-19.47
264.00,-0.49,5.94,-7.98,-0.02,-0.04,-0.01,10.12,-2.19,-19.47
276.00,-0.49,5.93,-7.96,-0.02,-0.04,-0.01,10.12,-2.19,-19.47
288.00,-0.48,5.94,-7.96,-0.02,-0.04,-0.01,10.12,-2.19,-19.47
299.00,-0.48,5.94,-7.96,-0.02,-0.04,-0.01,10.12,-2.19,-19.47
312.00,-0.47,5.95,-7.98,-0.02,-0.04,-0.01,12.81,-0.65,-18.37
324.00,-0.47,5.95,-7.98,-0.02,-0.04,-0.01,12.81,-0.65,-18.37
335.00,-0.49,5.94,-7.97,-0.02,-0.04,-0.01,12.81,-0.65,-18.37
347.00,-0.49,5.94,-7.97,-0.02,-0.04,-0.01,12.81,-0.65,-18.37
360.00,-0.49,5.94,-7.98,-0.02,-0.04,-0.01,12.81,-0.65,-18.37
371.00,-0.49,5.93,-7.98,-0.02,-0.04,-0.01,12.81,-0.65,-18.37
383.00,-0.49,5.93,-7.98,-0.02,-0.04,-0.01,12.81,-0.65,-18.37
395.00,-0.49,5.94,-7.98,-0.03,-0.04,-0.01,12.81,-0.65,-18.37
409.00,-0.48,5.95,-7.97,-0.03,-0.04,-0.01,12.81,-0.65,-18.37
420.00,-0.48,5.95,-7.97,-0.03,-0.04,-0.01,12.81,-0.65,-18.37
432.00,-0.50,5.94,-8.01,-0.02,-0.04,-0.01,10.33,-1.34,-20.25
444.00,-0.50,5.94,-8.01,-0.02,-0.04,-0.01,10.33,-1.34,-20.25
457.00,-0.49,5.94,-7.96,-0.02,-0.04,-0.01,10.33,-1.34,-20.25
468.00,-0.51,5.93,-7.97,-0.02,-0.04,-0.01,10.33,-1.34,-20.25
480.00,-0.51,5.93,-7.97,-0.02,-0.04,-0.01,10.33,-1.34,-20.25
492.00,-0.49,5.94,-7.99,-0.03,-0.04,-0.01,10.33,-1.34,-20.25
505.00,-0.49,5.94,-7.99,-0.03,-0.04,-0.01,10.33,-1.34,-20.25
517.00,-0.48,5.95,-7.96,-0.03,-0.04,-0.01,10.33,-1.34,-20.25
528.00,-0.47,5.95,-7.97,-0.02,-0.04,-0.01,10.33,-1.34,-20.25
540.00,-0.47,5.95,-7.97,-0.02,-0.04,-0.01,10.33,-1.34,-20.25
553.00,-0.49,5.95,-8.00,-0.02,-0.04,-0.01,11.98,-0.65,-20.25
564.00,-0.49,5.95,-8.00,-0.02,-0.04,-0.01,11.98,-0.65,-20.25
576.00,-0.49,5.94,-8.00,-0.02,-0.04,-0.01,11.98,-0.65,-20.25
587.00,-0.48,5.95,-7.99,-0.02,-0.04,-0.01,11.98,-0.65,-20.25
599.00,-0.48,5.95,-7.99,-0.02,-0.04,-0.01,11.98,-0.65,-20.25
612.00,-0.49,5.94,-7.99,-0.02,-0.04,-0.01,11.98,-0.65,-20.25
623.00,-0.49,5.94,-7.99,-0.02,-0.04,-0.01,11.98,-0.65,-20.25
635.00,-0.49,5.94,-8.01,-0.02,-0.04,-0.01,11.98,-0.65,-20.25
647.00,-0.49,5.94,-8.01,-0.02,-0.04,-0.01,11.98,-0.65,-20.25
660.00,-0.50,5.94,-7.97,-0.03,-0.04,-0.01,11.98,-0.65,-20.25
672.00,-0.49,5.94,-7.99,-0.02,-0.04,-0.01,11.98,-0.65,-19.63
683.00,-0.49,5.94,-7.99,-0.02,-0.04,-0.01,11.98,-0.65,-19.63
695.00,-0.48,5.93,-7.99,-0.03,-0.04,-0.01,11.98,-0.65,-19.63
708.00,-0.50,5.93,-7.97,-0.03,-0.04,-0.01,11.98,-0.65,-19.63
719.00,-0.50,5.93,-7.97,-0.03,-0.04,-0.01,11.98,-0.65,-19.63
730.00,-0.48,5.95,-7.98,-0.02,-0.04,-0.01,11.98,-0.65,-19.63
742.00,-0.48,5.95,-7.98,-0.02,-0.04,-0.01,11.98,-0.65,-19.63
756.00,-0.49,5.94,-7.97,-0.02,-0.04,-0.01,11.98,-0.65,-19.63
767.00,-0.48,5.94,-8.00,-0.02,-0.04,-0.01,11.98,-0.65,-19.63
779.00,-0.48,5.94,-8.00,-0.02,-0.04,-0.01,11.98,-0.65,-19.63
790.00,-0.47,5.94,-7.97,-0.02,-0.04,-0.01,11.98,-0.65,-19.63
804.00,-0.47,5.94,-7.97,-0.02,-0.04,-0.01,11.98,-0.65,-19.63
815.00,-0.48,5.95,-7.98,-0.03,-0.04,-0.01,14.46,0.03,-20.88
826.00,-0.48,5.95,-7.98,-0.03,-0.04,-0.01,14.46,0.03,-20.88
838.00,-0.47,5.95,-7.96,-0.03,-0.04,-0.01,14.46,0.03,-20.88
851.00,-0.49,5.95,-7.97,-0.02,-0.04,-0.01,14.46,0.03,-20.88
865.00,-0.49,5.95,-7.97,-0.02,-0.04,-0.01,14.46,0.03,-20.88
876.00,-0.49,5.93,-7.99,-0.02,-0.04,-0.01,14.46,0.03,-20.88
887.00,-0.49,5.93,-7.98,-0.02,-0.04,-0.01,14.46,0.03,-20.88
901.00,-0.49,5.93,-7.98,-0.02,-0.04,-0.01,14.46,0.03,-20.88
912.00,-0.49,5.94,-7.99,-0.02,-0.04,-0.01,14.46,0.03,-20.88
924.00,-0.49,5.94,-7.99,-0.02,-0.04,-0.01,14.46,0.03,-20.88
935.00,-0.48,5.94,-8.00,-0.02,-0.04,-0.01,11.57,-0.31,-21.19
946.00,-0.48,5.94,-8.00,-0.02,-0.04,-0.01,11.57,-0.31,-21.19
959.00,-0.48,5.93,-7.99,-0.02,-0.04,-0.01,11.57,-0.31,-21.19
970.00,-0.47,5.94,-7.96,-0.03,-0.04,-0.01,11.57,-0.31,-21.19
982.00,-0.47,5.94,-7.96,-0.03,-0.04,-0.01,11.57,-0.31,-21.19
993.00,-0.48,5.94,-7.96,-0.02,-0.04,-0.01,11.57,-0.31,-21.19
1006.00,-0.48,5.94,-7.96,-0.02,-0.04,-0.01,11.57,-0.31,-21.19
1018.00,-0.49,5.94,-7.98,-0.02,-0.04,-0.01,11.57,-0.31,-21.19
1029.00,-0.49,5.93,-7.99,-0.02,-0.04,-0.01,11.57,-0.31,-21.19
1040.00,-0.49,5.93,-7.99,-0.02,-0.04,-0.01,11.57,-0.31,-21.19
1054.00,-0.49,5.92,-8.00,-0.02,-0.04,-0.01,11.36,-0.48,-19.16
1065.00,-0.49,5.92,-8.00,-0.02,-0.04,-0.01,11.36,-0.48,-19.16
1077.00,-0.49,5.94,-7.99,-0.03,-0.04,-0.01,11.36,-0.48,-19.16
