time,ax,ay,az,gx,gy,gz,mx,my,mz
1.00,-0.49,6.17,-7.81,-0.02,-0.04,-0.01,11.16,1.73,-15.56
13.00,-0.49,6.17,-7.81,-0.02,-0.04,-0.01,11.16,1.73,-15.56
25.00,-0.51,6.16,-7.83,-0.02,-0.04,-0.01,10.33,1.39,-15.87
86.00,-0.51,6.13,-7.83,-0.02,-0.04,-0.00,10.33,1.39,-15.87
98.00,-0.51,6.17,-7.82,-0.02,-0.04,-0.01,10.33,1.39,-15.87
110.00,-0.51,6.17,-7.82,-0.02,-0.04,-0.01,10.33,1.39,-15.87
122.00,-0.50,6.16,-7.83,-0.02,-0.04,-0.00,10.33,1.39,-15.87
132.00,-0.50,6.16,-7.83,-0.02,-0.04,-0.00,10.33,1.39,-15.87
146.00,-0.51,6.15,-7.82,-0.02,-0.04,-0.01,11.36,1.90,-14.47
158.00,-0.50,6.15,-7.84,-0.02,-0.04,-0.01,11.36,1.90,-14.47
170.00,-0.50,6.15,-7.84,-0.02,-0.04,-0.01,11.36,1.90,-14.47
182.00,-0.52,6.13,-7.81,-0.02,-0.04,-0.01,11.36,1.90,-14.47
187.00,-0.52,6.13,-7.81,-0.02,-0.04,-0.01,11.36,1.90,-14.47
264.00,-0.50,6.13,-7.81,-0.02,-0.04,-0.01,10.74,1.39,-14.94
343.00,-0.51,6.16,-7.78,-0.03,-0.04,-0.01,10.74,1.39,-14.94
420.00,-0.50,6.16,-7.82,-0.03,-0.04,-0.01,11.36,0.54,-15.72
511.00,-0.51,6.13,-7.81,-0.02,-0.04,-0.01,11.36,0.54,-15.72
523.00,-0.52,6.15,-7.83,-0.02,-0.04,-0.01,9.71,1.22,-14.47
534.00,-0.52,6.15,-7.83,-0.02,-0.04,-0.01,9.71,1.22,-14.47
545.00,-0.49,6.17,-7.82,-0.02,-0.04,-0.01,9.71,1.22,-14.47
559.00,-0.48,6.16,-7.82,-0.02,-0.04,-0.01,9.71,1.22,-14.47
571.00,-0.48,6.16,-7.82,-0.02,-0.04,-0.01,9.71,1.22,-14.47
582.00,-0.51,6.14,-7.82,-0.02,-0.04,-0.01,9.71,1.22,-14.47
593.00,-0.51,6.14,-7.82,-0.02,-0.04,-0.01,9.71,1.22,-14.47
607.00,-0.51,6.14,-7.82,-0.02,-0.04,-0.01,9.71,1.22,-14.47
619.00,-0.51,6.14,-7.83,-0.02,-0.04,-0.01,9.71,1.22,-14.47
631.00,-0.51,6.14,-7.83,-0.02,-0.04,-0.01,9.71,1.22,-14.47
643.00,-0.51,6.14,-7.86,-0.03,-0.04,-0.01,10.54,0.20,-15.09
654.00,-0.51,6.14,-7.86,-0.03,-0.04,-0.01,10.54,0.20,-15.09
667.00,-0.50,6.17,-7.82,-0.03,-0.04,-0.01,10.54,0.20,-15.09
677.00,-0.50,6.16,-7.81,-0.02,-0.04,-0.01,10.54,0.20,-15.09
689.00,-0.50,6.16,-7.81,-0.02,-0.04,-0.01,10.54,0.20,-15.09
701.00,-0.50,6.15,-7.81,-0.02,-0.04,-0.01,10.54,0.20,-15.09
714.00,-0.50,6.15,-7.81,-0.02,-0.04,-0.01,10.54,0.20,-15.09
725.00,-0.49,6.14,-7.83,-0.03,-0.04,-0.01,10.54,0.20,-15.09
736.00,-0.50,6.16,-7.82,-0.02,-0.04,-0.01,10.54,0.20,-15.09
748.00,-0.50,6.16,-7.82,-0.02,-0.04,-0.01,10.54,0.20,-15.09
762.00,-0.50,6.16,-7.82,-0.02,-0.04,-0.01,10.54,-0.14,-15.40
773.00,-0.50,6.16,-7.82,-0.02,-0.04,-0.01,10.54,-0.14,-15.40
784.00,-0.50,6.17,-7.82,-0.02,-0.04,-0.01,10.54,-0.14,-15.40
795.00,-0.50,6.17,-7.82,-0.02,-0.04,-0.01,10.54,-0.14,-15.40
808.00,-0.49,6.17,-7.82,-0.02,-0.04,-0.01,10.54,-0.14,-15.40
820.00,-0.50,6.14,-7.82,-0.03,-0.04,-0.01,10.54,-0.14,-15.40
832.00,-0.50,6.14,-7.82,-0.03,-0.04,-0.01,10.54,-0.14,-15.40
843.00,-0.51,6.14,-7.83,-0.02,-0.04,-0.01,10.54,-0.14,-15.40
857.00,-0.52,6.14,-7.80,-0.03,-0.04,-0.01,10.54,-0.14,-15.40
869.00,-0.52,6.14,-7.80,-0.03,-0.04,-0.01,10.54,-0.14,-15.40
880.00,-0.49,6.15,-7.81,-0.03,-0.04,-0.01,10.54,-0.14,-15.40
892.00,-0.49,6.15,-7.81,-0.03,-0.04,-0.01,10.54,-0.14,-15.40
905.00,-0.49,6.16,-7.81,-0.02,-0.04,-0.01,10.33,-0.65,-15.25
916.00,-0.51,6.15,-7.82,-0.02,-0.04,-0.01,10.33,-0.65,-15.25
928.00,-0.51,6.15,-7.82,-0.02,-0.04,-0.01,10.33,-0.65,-15.25
940.00,-0.51,6.15,-7.83,-0.02,-0.04,-0.01,10.33,-0.65,-15.25
952.00,-0.51,6.15,-7.83,-0.02,-0.04,-0.01,10.33,-0.65,-15.25
966.00,-0.50,6.14,-7.82,-0.02,-0.04,-0.01,10.33,-0.65,-15.25
978.00,-0.51,6.14,-7.82,-0.02,-0.04,-0.01,10.33,-0.65,-15.25
990.00,-0.51,6.14,-7.82,-0.02,-0.04,-0.01,10.33,-0.65,-15.25
1002.00,-0.50,6.15,-7.80,-0.02,-0.04,-0.01,10.33,-0.65,-15.25
1015.00,-0.50,6.15,-7.80,-0.02,-0.04,-0.01,10.33,-0.65,-15.25
1027.00,-0.51,6.16,-7.82,-0.02,-0.04,-0.01,10.54,0.20,-15.40
1039.00,-0.51,6.15,-7.83,-0.02,-0.04,-0.01,10.54,0.20,-15.40
1051.00,-0.51,6.15,-7.83,-0.02,-0.04,-0.01,10.54,0.20,-15.40
1064.00,-0.50,6.16,-7.84,-0.02,-0.04,-0.01,10.54,0.20,-15.40
1076.00,-0.49,6.14,-7.80,-0.02,-0.04,-0.01,10.54,0.20,-15.40
1088.00,-0.49,6.14,-7.80,-0.02,-0.04,-0.01,10.54,0.20,-15.40
1099.00,-0.49,6.16,-7.82,-0.03,-0.04,-0.01,10.54,0.20,-15.40
1112.00,-0.49,6.16,-7.82,-0.03,-0.04,-0.01,10.54,0.20,-15.40
1124.00,-0.49,6.15,-7.82,-0.03,-0.04,-0.01,10.54,0.20,-15.40
1136.00,-0.52,6.12,-7.82,-0.03,-0.04,-0.01,8.89,-0.48,-16.03
1148.00,-0.52,6.12,-7.82,-0.03,-0.04,-0.01,8.89,-0.48,-16.03
1161.00,-0.52,5.89,-8.10,-0.05,0.05,-0.12,8.89,-0.48,-16.03
1172.00,-0.52,5.89,-8.10,-0.05,0.05,-0.12,8.89,-0.48,-16.03
1184.00,-0.49,6.13,-7.77,-0.05,0.30,-0.43,8.89,-0.48,-16.03
1196.00,-0.49,6.13,-7.77,-0.05,0.30,-0.43,8.89,-0.48,-16.03
1208.00,0.08,6.31,-8.02,0.00,0.31,-0.42,8.89,-0.48,-16.03
1220.00,-0.45,6.56,-8.99,0.48,0.41,-0.28,8.89,-0.48,-16.03
1232.00,-0.45,6.56,-8.99,0.48,0.41,-0.28,8.89,-0.48,-16.03
1244.00,-0.60,6.30,-10.59,1.70,0.23,-0.03,8.89,-0.48,-16.03
1259.00,-0.32,4.49,-9.71,3.48,-0.25,0.42,12.40,-2.36,-15.87
1271.00,-0.32,4.49,-9.71,3.48,-0.25,0.42,12.40,-2.36,-15.87
